card_number,player,team,category,insert_name,year,set_name
86C-1,Albert Pujols,Los Angeles Dodgers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-2,Aaron Judge,New York Yankees,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-3,Bryce Harper,Philadelphia Phillies,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-4,Jonah Heim,Texas Rangers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-5,Trevor Bauer,Los Angeles Dodgers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-6,Brent Honeywell Jr.,Tampa Bay Rays,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-7,Fernando Tatis Jr.,San Diego Padres,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-8,Logan Gilbert,Seattle Mariners,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-9,Alex Kirilloff,Minnesota Twins,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-10,Rhys Hoskins,Philadelphia Phillies,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-11,Taylor Trammell,Seattle Mariners,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-12,Javier Baez,Chicago Cubs,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-13,Josh Donaldson,Minnesota Twins,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-14,Kohei Arihara,Texas Rangers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-15,Starling Marte,Miami Marlins,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-16,Akil Baddoo,Detroit Tigers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-17,Andrew Vaughn,Chicago White Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-18,Nolan Arenado,St. Louis Cardinals,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-19,David Ortiz,Boston Red Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-20,Mark McGwire,Oakland Athletics,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-21,Tom Glavine,Atlanta Braves,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-22,Marcus Stroman,New York Mets,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-23,Ernie Banks,Chicago Cubs,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-24,Yermin Mercedes,Chicago White Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-25,Bo Jackson,Kansas City Royals,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-26,Francisco Lindor,New York Mets,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-27,Jonathan India,Cincinnati Reds,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-28,Christian Yelich,Milwaukee Brewers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-29,Jazz Chisholm Jr.,Miami Marlins,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-30,Nelson Cruz,Minnesota Twins,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-31,Kyle Isbel,Kansas City Royals,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-32,Jeff Bagwell,Houston Astros,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-33,Andrew Benintendi,Kansas City Royals,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-34,Dale Murphy,Atlanta Braves,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-35,Ronald Acuña Jr.,Atlanta Braves,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-36,Wade Boggs,Boston Red Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-37,Ken Griffey Jr.,Cincinnati Reds,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-38,Manny Ramirez,Boston Red Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-39,Alek Manoah,Toronto Blue Jays,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-40,Gleyber Torres,New York Yankees,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-41,Cody Bellinger,Los Angeles Dodgers,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-42,Mike Trout,Los Angeles Angels,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-43,Ke'Bryan Hayes,Pittsburgh Pirates,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-44,Luis Patiño,Tampa Bay Rays,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-45,Alec Bohm,Philadelphia Phillies,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-46,Hirokazu Sawamura,Boston Red Sox,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-47,Hyun-Jin Ryu,Toronto Blue Jays,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-48,Jarred Kelenic,Seattle Mariners,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-49,Geraldo Perdomo,Arizona Diamondbacks,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
86C-50,Daniel Lynch,Kansas City Royals,Insert,1986 Topps Chrome,2021,Chrome Silver Pack
