card_number,player,team,set_name,year,sport,category,insert_name,is_rookie,is_auto,is_mem,variations,var_images
1,Fernando Tatis Jr.,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
2,Roberto Osuna,Houston Astros,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
3,Matt Chapman,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
4,David Bote,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
5,Julio Urias,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
6,Justus Sheffield,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
7,Dab on 'Em,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
8,Mauricio Dubon,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
9,Max Fried,Atlanta Braves,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
10,Daulton Varsho,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
11,Max Kepler,Minnesota Twins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
12,Joey Bart,San Francisco Giants,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
13,Mookie Betts,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
14,Do It for the Fans!,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
15,Mookie Betts,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
16,Patrick Sandoval,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
17,Sean Doolittle,Washington Nationals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
18,Shun Yamaguchi,Toronto Blue Jays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
19,Jakob Junis,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
20,J.D. Martinez,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
21,Eric Sogard,Milwaukee Brewers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
22,Pedro Severino,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
23,Nomar Mazara,Chicago White Sox,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
24,Nolan Arenado,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
25,Sixto Sanchez,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
26,Bobby Dalbec,Boston Red Sox,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
27,Mike Trout,Angels,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
28,Luke Weaver,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
29,Chris Davis,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
30,Miguel Andujar,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
31,Brandon Kintzler,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
32,Edward Olivares,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
33,Yonathan Daza,Colorado Rockies,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
34,Roberto Perez,Cleveland Indians,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
35,Danny Santana,Texas Rangers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
36,Charlie Morton,Tampa Bay Rays,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
37,Jose Quintana,Chicago Cubs,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
38,Mitch Moreland,San Diego Padres,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
39,New York Yankees,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
40,Joc Pederson,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
41,Deivi Garcia,New York Yankees,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
42,Kyle Lewis,Seattle Mariners,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
43,Jo Adell,Angels,2021 Topps Series 1,2021,baseball,Base,,True,False,False,[],{}
44,Walker Buehler,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
45,Wade LeBlanc,Baltimore Orioles,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
46,Jesus Luzardo,Oakland Athletics,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
47,Ketel Marte,Arizona Diamondbacks,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
48,Maikel Franco,Kansas City Royals,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
49,Starling Marte,Miami Marlins,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
50,Cody Bellinger,Los Angeles Dodgers,2021 Topps Series 1,2021,baseball,Base,,False,False,False,[],{}
