card_number,player,team,category,insert_name,year,set_name
86B-1,Mike Trout,Los Angeles Angels,Insert,1986 Topps Baseball,2021,Update Series
86B-2,Kyle Isbel,Kansas City Royals,Insert,1986 Topps Baseball,2021,Update Series
86B-3,Nick Castellanos,Cincinnati Reds,Insert,1986 Topps Baseball,2021,Update Series
86B-4,Larry Walker,Colorado Rockies,Insert,1986 Topps Baseball,2021,Update Series
86B-5,Eric Hosmer,San Diego Padres,Insert,1986 Topps Baseball,2021,Update Series
86B-6,Bryce Harper,Philadelphia Phillies,Insert,1986 Topps Baseball,2021,Update Series
86B-7,Andrew Vaughn,Chicago White Sox,Insert,1986 Topps Baseball,2021,Update Series
86B-8,Javier Baez,Chicago Cubs,Insert,1986 Topps Baseball,2021,Update Series
86B-9,Fernando Tatis Jr.,San Diego Padres,Insert,1986 Topps Baseball,2021,Update Series
86B-10,Mookie Betts,Los Angeles Dodgers,Insert,1986 Topps Baseball,2021,Update Series
86B-11,Alek Manoah,Toronto Blue Jays,Insert,1986 Topps Baseball,2021,Update Series
86B-12,Aaron Judge,New York Yankees,Insert,1986 Topps Baseball,2021,Update Series
86B-13,Rhys Hoskins,Philadelphia Phillies,Insert,1986 Topps Baseball,2021,Update Series
86B-14,Ken Griffey Jr.,Cincinnati Reds,Insert,1986 Topps Baseball,2021,Update Series
86B-15,Reggie Jackson,Oakland Athletics,Insert,1986 Topps Baseball,2021,Update Series
86B-16,Bo Bichette,Toronto Blue Jays,Insert,1986 Topps Baseball,2021,Update Series
86B-17,Bo Jackson,Kansas City Royals,Insert,1986 Topps Baseball,2021,Update Series
86B-18,Jarred Kelenic,Seattle Mariners,Insert,1986 Topps Baseball,2021,Update Series
86B-19,Jonathan India,Cincinnati Reds,Insert,1986 Topps Baseball,2021,Update Series
86B-20,Roy Campanella,Brooklyn Dodgers,Insert,1986 Topps Baseball,2021,Update Series
86B-21,Joe Musgrove,San Diego Padres,Insert,1986 Topps Baseball,2021,Update Series
86B-22,Akil Baddoo,Detroit Tigers,Insert,1986 Topps Baseball,2021,Update Series
86B-23,Kevin Gausman,San Francisco Giants,Insert,1986 Topps Baseball,2021,Update Series
86B-24,Ted Williams,Boston Red Sox,Insert,1986 Topps Baseball,2021,Update Series
86B-25,Kyle Seager,Seattle Mariners,Insert,1986 Topps Baseball,2021,Update Series
86B-26,Nelson Cruz,Minnesota Twins,Insert,1986 Topps Baseball,2021,Update Series
86B-27,Shohei Ohtani,Los Angeles Angels,Insert,1986 Topps Baseball,2021,Update Series
86B-28,Taylor Trammell,Seattle Mariners,Insert,1986 Topps Baseball,2021,Update Series
86B-29,Tyler Glasnow,Tampa Bay Rays,Insert,1986 Topps Baseball,2021,Update Series
86B-30,Ramon Laureano,Oakland Athletics,Insert,1986 Topps Baseball,2021,Update Series
86B-31,Randy Arozarena,Tampa Bay Rays,Insert,1986 Topps Baseball,2021,Update Series
86B-32,Kyle Tucker,Houston Astros,Insert,1986 Topps Baseball,2021,Update Series
86B-33,Trevor Bauer,Los Angeles Dodgers,Insert,1986 Topps Baseball,2021,Update Series
86B-34,Christian Yelich,Milwaukee Brewers,Insert,1986 Topps Baseball,2021,Update Series
86B-35,Ozzie Smith,St. Louis Cardinals,Insert,1986 Topps Baseball,2021,Update Series
86B-36,Derek Jeter,New York Yankees,Insert,1986 Topps Baseball,2021,Update Series
86B-37,Francisco Lindor,New York Mets,Insert,1986 Topps Baseball,2021,Update Series
86B-38,Hyun-Jin Ryu,Toronto Blue Jays,Insert,1986 Topps Baseball,2021,Update Series
86B-39,Ronald Acuña Jr.,Atlanta Braves,Insert,1986 Topps Baseball,2021,Update Series
86B-40,Blake Snell,San Diego Padres,Insert,1986 Topps Baseball,2021,Update Series
86B-41,Greg Maddux,Atlanta Braves,Insert,1986 Topps Baseball,2021,Update Series
86B-42,Logan Gilbert,Seattle Mariners,Insert,1986 Topps Baseball,2021,Update Series
86B-43,Geraldo Perdomo,Arizona Diamondbacks,Insert,1986 Topps Baseball,2021,Update Series
86B-44,Carl Yastrzemski,Boston Red Sox,Insert,1986 Topps Baseball,2021,Update Series
86B-45,Vladimir Guerrero Jr.,Toronto Blue Jays,Insert,1986 Topps Baseball,2021,Update Series
86B-46,Wil Myers,San Diego Padres,Insert,1986 Topps Baseball,2021,Update Series
86B-47,Jacob deGrom,New York Mets,Insert,1986 Topps Baseball,2021,Update Series
86B-48,Adam Wainwright,St. Louis Cardinals,Insert,1986 Topps Baseball,2021,Update Series
86B-49,Yermin Mercedes,Chicago White Sox,Insert,1986 Topps Baseball,2021,Update Series
86B-50,Brent Honeywell Jr.,Tampa Bay Rays,Insert,1986 Topps Baseball,2021,Update Series
