card_number,player_name,team
1,Ace Bailey,Rutgers
2,Ahmad Nowell,UConn
3,Aiden Sherrell,Alabama
4,AJ Storr,Kansas
5,Allie Ziebell,UConn
6,Aneesah Morrow,LSU
7,Annor Boateng,Missouri
8,Asa Newell,Georgia
9,Audi Crooks,Iowa State
10,Billy Richmond III,Arkansas
11,Boogie Fland,Arkansas
12,Braden Smith,Purdue
13,Cam Scott,South Carolina
14,Clifford Omoruyi,Alabama
15,Robert Wright III,Baylor
16,Cooper Flagg,Duke
18,Darren Harris,Duke
19,Derik Queen,Maryland
20,Derrion Reid,Alabama
21,Donavan Freeman,Syracuse
22,Dylan Harper,Rutgers
23,Emanuel Sharp,Houston
24,Flory Bidunga,Kansas
25,Grant Nelson,Alabama
26,Hannah Hidalgo,Notre Dame
27,Isaiah Evans,Duke
29,Jaloni Cambridge,Ohio State
30,Jayden Nunn,Baylor
32,Jonas Aidoo,Arkansas
33,Jordan Gainey,Tennessee
34,Jordan Lee,Texas
36,Joyce Edwards,South Carolina
37,Juju Watkins,USC
38,Justice Carlton,Texas
39,Kam Jones,Marquette
40,Kanon Catchings,BYU
41,Karter Knox,Arkansas
42,Kate Koval,Notre Dame
43,Kayleigh Heckel,USC
44,Kennedy Smith,USC
45,Keshon Gilbert,Iowa State
46,Khaman Maluach,Duke
47,Kiki Iriafen,USC
48,Kon Knueppel,Duke
49,Labaron Philon,Alabama
50,Langston Love,Baylor
51,Latrell Wrightsell,Alabama
52,Liam McNeeley,UConn
53,Mackenly Randolph,Louisville
54,Meechie Johnson,Ohio State
55,Mikayla Blakes,Vanderbilt
57,Aden Holloway,Alabama
58,Patrick Ngongba,Duke
59,PJ Haggerty,Memphis
60,Raven Johnson,South Carolina
62,Sarah Strong,UConn
63,Sion James,Duke
64,Sonia Citron,Notre Dame
65,Syla Swords,Michigan
66,Tamin Lipsey,Iowa State
67,Trent Perry,UCLA
71,Simeon Wilcher,St. John
72,Ryan Nembhard,Gonzaga
74,TJ Bamba,Oregon
75,Jeremy Fears,Michigan State
76,Miles Kelly,Auburn
77,Jackson Shelstad,Oregon
78,Kylan Boswell,Illinois
79,Miro Little,Utah
80,Jaden Akins,Michigan State
81,Jamari McDowell,Kansas
82,Prince Aligbe,Seton Hall
83,Xavier Booker,Michigan State
84,RJ Jones,TCU
85,DeShawn Harris-Smith,Maryland
87,Solomon Ball,UConn
88,Tre Norman,Marquette
90,Zaide Lowery,Marquette
91,Isaac McKneely,Virginia
92,Steele Venters,Gonzaga
94,Scotty Middleton,Seton Hall
95,Layden Blocker,DePaul
