card_number,player_name,team
BCP-1,Walker Jenkins,Minnesota Twins
BCP-2,Zyhir Hope,Los Angeles Dodgers
BCP-3,Romeo Sanabria,San Diego Padres
BCP-4,Asbel Gonzalez,Kansas City Royals
BCP-5,Franyerber Montilla,Detroit Tigers
BCP-6,Wen-Hui Pan,Philadelphia Phillies
BCP-7,Gregory Barrios,Tampa Bay Rays
BCP-8,Dawel Joseph,Seattle Mariners
BCP-9,Esteban Mejia,Texas Rangers
BCP-10,Cade Horton,Chicago Cubs
BCP-11,Jackson Humphries,Cleveland Guardians
BCP-12,Hayden Alvarez,Angels
BCP-13,Josue Briceno,Detroit Tigers
BCP-14,Owen Wild,Tampa Bay Rays
BCP-15,Walker Janek,Houston Astros
BCP-16,Engelth Urena,New York Yankees
BCP-17,Colt Emerson,Seattle Mariners
BCP-18,Ichiro Cano Hernandez,Cincinnati Reds
BCP-19,Fabian Lopez,Miami Marlins
BCP-20,Ashly Andujar,Colorado Rockies
BCP-21,Slade Caldwell,Arizona Diamondbacks
BCP-22,JJ Wetherholt,St. Louis Cardinals
BCP-23,Lazaro Montes,Seattle Mariners
BCP-24,Max Clark,Detroit Tigers
BCP-25,Quinn Mathews,St. Louis Cardinals
BCP-26,Jancel Villarroel,Houston Astros
BCP-27,Yu-Min Lin,Arizona Diamondbacks
BCP-28,Carlos Tavares,Washington Nationals
BCP-29,David Ortiz Jr.,Texas Rangers
BCP-30,Bishop Letson,Milwaukee Brewers
BCP-31,Ricardo Yan,Arizona Diamondbacks
BCP-32,Cole Fontenelle,Angels
BCP-33,Aron Estrada,Baltimore Orioles
BCP-34,Rafael Flores,New York Yankees
BCP-35,Will Simpson,Athletics
BCP-36,Yophery Rodriguez,Milwaukee Brewers
BCP-37,Esmith Pineda,Cincinnati Reds
BCP-38,Luis Pena,Milwaukee Brewers
BCP-39,James Tibbs III,San Francisco Giants
BCP-40,Robert Calaz,Colorado Rockies
BCP-41,Mitch Jebb,Pittsburgh Pirates
BCP-42,Kristian Campbell,Boston Red Sox
BCP-43,Jhostynxon Garcia,Boston Red Sox
BCP-44,Hagen Smith,Chicago White Sox
BCP-45,Victor Rodrigues,Los Angeles Dodgers
BCP-46,Cam Caminiti,Atlanta Braves
BCP-47,Dylan Fien,Athletics
BCP-48,Cam Smith,Houston Astros
BCP-49,Bryce Rainer,Detroit Tigers
BCP-50,Jesus Made,Milwaukee Brewers
BCP-51,Hyun-Seok Jang,Los Angeles Dodgers
BCP-52,Ismael Javier,San Diego Padres
BCP-53,Jacob Bresnahan,San Francisco Giants
BCP-54,Aidan Miller,Philadelphia Phillies
BCP-55,Gary Gill Hill,Tampa Bay Rays
BCP-56,Chase Mobley,Cleveland Guardians
BCP-57,Chase Hampton,New York Yankees
BCP-58,Jonathon Long,Chicago Cubs
BCP-59,Leo De Vries,San Diego Padres
BCP-60,Jack Penney,Detroit Tigers
BCP-61,D'Angelo Ortiz,Boston Red Sox
BCP-62,Luke Sinnard,Atlanta Braves
BCP-63,George Klassen,Angels
BCP-64,Jack Lines,Tampa Bay Rays
BCP-65,Aroon Escobar,Philadelphia Phillies
BCP-66,Sammy Hernandez,St. Louis Cardinals
BCP-67,Franklin Arias,Boston Red Sox
BCP-68,Javier Mogollon,Chicago White Sox
BCP-69,Thomas White,Miami Marlins
BCP-70,Esteban Gonzalez,Cleveland Guardians
BCP-71,Richard Matic,New York Yankees
BCP-72,Paulino Santana,Texas Rangers
BCP-73,Steven Echavarria,Athletics
BCP-74,Zack Showalter,St. Louis Cardinals
BCP-75,Charlie Condon,Colorado Rockies
BCP-76,Blake Wolters,Kansas City Royals
BCP-77,Khadim Diaw,Minnesota Twins
BCP-78,Payton Eeles,Minnesota Twins
BCP-79,Kevin McGonigle,Detroit Tigers
BCP-80,Edgleen Perez,New York Yankees
BCP-81,Aidan Smith,Tampa Bay Rays
BCP-82,Kevyn Castillo,Angels
BCP-83,Émilien Pitre,Tampa Bay Rays
BCP-84,Jansel Luis,Arizona Diamondbacks
BCP-85,Jared Sundstrom,Seattle Mariners
BCP-86,Konnor Griffin,Pittsburgh Pirates
BCP-87,Didier Fuentes,Atlanta Braves
BCP-88,Jesus Lopez,Texas Rangers
BCP-89,Sean Keys,Toronto Blue Jays
BCP-90,Andrew Morris,Minnesota Twins
BCP-91,PJ Morlando,Miami Marlins
BCP-92,Bo Walker,Arizona Diamondbacks
BCP-93,Seaver King,Washington Nationals
BCP-94,Marcos Torres,Texas Rangers
BCP-95,Tsung-Che Cheng,Pittsburgh Pirates
BCP-96,Humberto Cruz,San Diego Padres
BCP-97,Cameron Sullivan,Cleveland Guardians
BCP-98,Anderson Brito,Houston Astros
BCP-99,Naibel Mariano,Cincinnati Reds
BCP-100,Sammy Stafura,Cincinnati Reds
BCP-101,Tink Hence,St. Louis Cardinals
BCP-102,Nate Nankil,Athletics
BCP-103,Jac Caglianone,Kansas City Royals
BCP-104,Cobb Hightower,San Diego Padres
BCP-105,Jonah Tong,New York Mets
BCP-106,Jose Perdomo,Atlanta Braves
BCP-107,Christian Moore,Angels
BCP-108,Carson Benge,New York Mets
BCP-109,Samuel Basallo,Baltimore Orioles
BCP-110,Fernando Cruz,Chicago Cubs
BCP-111,Jose Pirela,Cleveland Guardians
BCP-112,Cody Freeman,Texas Rangers
BCP-113,Caden Kendle,Minnesota Twins
BCP-114,Nick Kurtz,Athletics
BCP-115,Eduardo Quintero,Los Angeles Dodgers
BCP-116,Andrew Painter,Philadelphia Phillies
BCP-117,Jesus Tillero,Los Angeles Dodgers
BCP-118,Kyle Teel,Chicago White Sox
BCP-119,Hyungchan Um,Kansas City Royals
BCP-120,Caleb Lomavita,Washington Nationals
BCP-121,Winston Santos,Texas Rangers
BCP-122,Chase Burns,Cincinnati Reds
BCP-123,Jhonayker Ugarte,Kansas City Royals
BCP-124,Elvin Garcia,Baltimore Orioles
BCP-125,Alejandro Rosario,Texas Rangers
BCP-126,Jhancarlos Lara,Atlanta Braves
BCP-127,Emil Morales,Los Angeles Dodgers
BCP-128,Cory Lewis,Minnesota Twins
BCP-129,Malcolm Moore,Texas Rangers
BCP-130,Conrad Cason,Boston Red Sox
BCP-131,Travis Bazzana,Cleveland Guardians
BCP-132,Braden Montgomery,Chicago White Sox
BCP-133,Sebastian Walcott,Texas Rangers
BCP-134,Onil Perez,San Francisco Giants
BCP-135,Lucas Ramirez,Angels
BCP-136,Josh Knoth,Milwaukee Brewers
BCP-137,Kellon Lindsey,Los Angeles Dodgers
BCP-138,Druw Jones,Arizona Diamondbacks
BCP-139,Kyle DeBarge,Minnesota Twins
BCP-140,Luis Merejo,Cleveland Guardians
BCP-141,Chen-Wei Lin,St. Louis Cardinals
BCP-142,Santiago Suarez,Tampa Bay Rays
BCP-143,Jakob Wright,Los Angeles Dodgers
BCP-144,Pablo Guerrero,Texas Rangers
BCP-145,Matt Wilkinson,Cleveland Guardians
BCP-146,Yeremi Cabrera,Texas Rangers
BCP-147,Jhonny Level,San Francisco Giants
BCP-148,Braylon Payne,Milwaukee Brewers
BCP-149,Alex Mooney,Cleveland Guardians
BCP-150,Charles McAdoo,Toronto Blue Jays
BSS-1,Emil Morales,Los Angeles Dodgers
BSS-2,Leo De Vries,San Diego Padres
BSS-3,Charlie Condon,Colorado Rockies
BSS-4,PJ Morlando,Miami Marlins
BSS-5,Max Clark,Detroit Tigers
BSS-6,Slade Caldwell,Arizona Diamondbacks
BSS-7,Jac Caglianone,Kansas City Royals
BSS-8,Eduardo Quintero,Los Angeles Dodgers
BSS-9,JJ Wetherholt,St. Louis Cardinals
BSS-10,Sebastian Walcott,Texas Rangers
BSS-11,Coby Mayo,Baltimore Orioles
BSS-12,Kevin McGonigle,Detroit Tigers
BSS-13,Kristian Campbell,Boston Red Sox
BSS-14,Braden Montgomery,Chicago White Sox
BSS-15,Kumar Rocker,Texas Rangers
