card_number,player_name,team
1,Jacob Wilson,Athletics
2,Hyeseong Kim,Los Angeles Dodgers
3,Dylan Crews,Washington Nationals
4,Matt Olson,Atlanta Braves
5,Yusei Kikuchi,Angels
6,Manny Machado,San Diego Padres
7,Bobby Witt Jr.,Kansas City Royals
8,Fernando Tatis Jr.,San Diego Padres
9,Logan Gilbert,Seattle Mariners
10,Cade Horton,Chicago Cubs
11,Mick Abel,Philadelphia Phillies
12,Roki Sasaki,Los Angeles Dodgers
13,Ronald Acuña Jr.,Atlanta Braves
14,Willy Adames,San Francisco Giants
15,Alex Bregman,Boston Red Sox
16,Jackson Holliday,Baltimore Orioles
17,Shohei Ohtani,Los Angeles Dodgers
18,Chandler Simpson,Tampa Bay Rays
19,Shota Imanaga,Chicago Cubs
20,CJ Abrams,Washington Nationals
21,José Ramírez,Cleveland Guardians
22,Juan Soto,New York Mets
23,Salvador Perez,Kansas City Royals
24,Andrew McCutchen,Pittsburgh Pirates
25,Trey Sweeney,Detroit Tigers
26,Mookie Betts,Los Angeles Dodgers
27,Mike Trout,Angels
28,Chad Patrick,Milwaukee Brewers
29,James Wood,Washington Nationals
30,Paul Skenes,Pittsburgh Pirates
31,Blake Snell,Los Angeles Dodgers
32,Luisangel Acuña,New York Mets
33,Freddie Freeman,Los Angeles Dodgers
34,Jazz Chisholm Jr.,New York Yankees
35,Randy Arozarena,Seattle Mariners
36,Wyatt Langford,Texas Rangers
37,Bryce Harper,Philadelphia Phillies
38,Jackson Merrill,San Diego Padres
39,Marcelo Mayer,Boston Red Sox
40,Jackson Chourio,Milwaukee Brewers
41,Dillon Dingler,Detroit Tigers
42,Moisés Ballesteros,Chicago Cubs
43,Yandy Díaz,Tampa Bay Rays
44,Kevin Alcántara,Chicago Cubs
45,Corey Seager,Texas Rangers
46,Matt Shaw,Chicago Cubs
47,Jacob deGrom,Texas Rangers
48,Sandy Alcantara,Miami Marlins
49,Matt Chapman,San Francisco Giants
50,Jake Mangum,Tampa Bay Rays
51,Ketel Marte,Arizona Diamondbacks
52,Shane Smith,Chicago White Sox
53,Walker Buehler,Boston Red Sox
54,Carlos Correa,Minnesota Twins
55,Zach Neto,Angels
56,Bo Bichette,Toronto Blue Jays
57,Kyle Tucker,Chicago Cubs
58,Kristian Campbell,Boston Red Sox
59,Francisco Lindor,New York Mets
60,Seiya Suzuki,Chicago Cubs
61,Luke Keaschall,Minnesota Twins
62,Chase Dollander,Colorado Rockies
63,Hayden Birdsong,San Francisco Giants
64,Masyn Winn,St. Louis Cardinals
65,Lawrence Butler,Athletics
66,Julio Rodríguez,Seattle Mariners
67,Noah Cameron,Kansas City Royals
68,Angel Martínez,Cleveland Guardians
69,Zac Veen,Colorado Rockies
70,Christian Yelich,Milwaukee Brewers
71,Chase Meidroth,Chicago White Sox
72,Zack Wheeler,Philadelphia Phillies
73,Sean Burke,Chicago White Sox
74,Vladimir Guerrero Jr.,Toronto Blue Jays
75,Drake Baldwin,Atlanta Braves
76,Yoshinobu Yamamoto,Los Angeles Dodgers
77,Cam Smith,Houston Astros
78,Cody Bellinger,New York Yankees
79,Will Warren,New York Yankees
80,Junior Caminero,Tampa Bay Rays
81,Yordan Alvarez,Houston Astros
82,Trea Turner,Philadelphia Phillies
83,Coby Mayo,Baltimore Orioles
84,Spencer Schwellenbach,Atlanta Braves
85,Corbin Carroll,Arizona Diamondbacks
86,Tsung-Che Cheng,Pittsburgh Pirates
87,Ezequiel Tovar,Colorado Rockies
88,Edgar Quero,Chicago White Sox
89,Elly De La Cruz,Cincinnati Reds
90,Max Muncy,Athletics
91,Agustín Ramírez,Miami Marlins
92,Logan Henderson,Milwaukee Brewers
93,Nick Kurtz,Athletics
94,Corbin Burnes,Arizona Diamondbacks
95,Tarik Skubal,Detroit Tigers
96,Gunnar Henderson,Baltimore Orioles
97,Royce Lewis,Minnesota Twins
98,Kumar Rocker,Texas Rangers
99,Aaron Judge,New York Yankees
100,Dalton Rushing,Los Angeles Dodgers
BCP-153,Josuar Gonzalez,San Francisco Giants
BCP-154,Jac Caglianone,Kansas City Royals
BCP-155,Elian Peña,New York Mets
BCP-156,Andrew Salas,Miami Marlins
BCP-157,Jakob Christian,San Francisco Giants
BCP-158,Devin Fitz-Gerald,Texas Rangers
BCP-159,Kendry Martínez,Seattle Mariners
BCP-160,Jirvin Morillo,Cincinnati Reds
BCP-161,Haritzon Castillo,Minnesota Twins
BCP-162,Cristopher Polanco,Toronto Blue Jays
BCP-163,Johan De Los Santos,Pittsburgh Pirates
BCP-164,George Lombard Jr.,New York Yankees
BCP-165,Spencer Giesting,Arizona Diamondbacks
BCP-166,Cam Schlittler,New York Yankees
BCP-167,Roman Anthony,Boston Red Sox
BCP-168,Enry Torres,Cincinnati Reds
BCP-169,Ethan Salas,San Diego Padres
BCP-170,Shotaro Morii,Athletics
BCP-171,Bubba Chandler,Pittsburgh Pirates
BCP-172,John Gil,Atlanta Braves
BCP-173,Deivid Coronil,San Diego Padres
BCP-174,Liberts Aponte,Cincinnati Reds
BCP-175,Raymer Medina,Tampa Bay Rays
BCP-176,Cristopher Acosta,Milwaukee Brewers
BCP-177,Noah Schultz,Chicago White Sox
BCP-178,Gabriel Davalillo,Angels
BCP-179,Will Taylor,Pittsburgh Pirates
BCP-180,Bryce Eldridge,San Francisco Giants
BCP-181,RJ Schreck,Toronto Blue Jays
BCP-182,Kai Roberts,San Diego Padres
BCP-183,Marco Dinges,Milwaukee Brewers
BCP-184,Nate George,Baltimore Orioles
BCP-185,Warren Calcaño,Kansas City Royals
BCP-186,Elorky Rodriguez,Texas Rangers
BCP-187,Ramcell Medina,Kansas City Royals
BCP-188,Teilon Serrano,Minnesota Twins
BCP-189,Stiven Marinez,New York Yankees
BCP-190,Kenny Fenelon,Milwaukee Brewers
BCP-191,Christopher Suero,New York Mets
BCP-192,Nathan Church,St. Louis Cardinals
BCP-193,Jose Anderson,Milwaukee Brewers
BCP-194,Yorger Bautista,Seattle Mariners
BCP-195,David Sandlin,Boston Red Sox
BCP-196,Hiverson López,Cleveland Guardians
BCP-197,Ayden Johnson,Athletics
BCP-198,Alirio Ferrebus,Philadelphia Phillies
BCP-199,Mani Cedeno,New York Yankees
BCP-200,Rainiel Rodriguez,St. Louis Cardinals
BCP-201,Anyelo Marquez,Angels
BCP-202,Carlos Lagrange,New York Yankees
BCP-203,Heins Brito,Cleveland Guardians
BCP-204,Leo De Vries,San Diego Padres
BCP-205,Kevin Defrank,Miami Marlins
BCP-206,Bo Davidson,San Francisco Giants
BCP-207,Juan Cabada,Chicago Cubs
BCP-208,Jordan Sanchez,Baltimore Orioles
BCP-209,Wilfri De La Cruz,Chicago Cubs
BCP-210,Pedro Catuy,Arizona Diamondbacks
BCP-211,Brayan Cortesia,Washington Nationals
BCP-212,Caden Powell,Houston Astros
BCP-213,Ronny Cruz,Chicago Cubs
BCP-214,Diego Tornes,Atlanta Braves
BCP-215,Justice Bigbie,Detroit Tigers
BCP-216,Harold Rivas,Boston Red Sox
BCP-217,Nestor Miranda,Detroit Tigers
BCP-218,Luke Dickerson,Washington Nationals
BCP-219,Alessander De La Cruz,Colorado Rockies
BCP-220,Cristian Arguelles,Colorado Rockies
BCP-221,Royelny Strop,St. Louis Cardinals
BCP-222,Yahil Melendez,Chicago Cubs
BCP-223,Jhoan De La Cruz,San Diego Padres
BCP-224,Ching-Hsien Ko,Los Angeles Dodgers
BCP-225,Warel Solano,Tampa Bay Rays
BCP-226,Brett Bateman,Chicago Cubs
BCP-227,Kevin Alvarez,Houston Astros
BCP-228,Arjun Nimmala,Toronto Blue Jays
BCP-229,Yulian Barreto,San Francisco Giants
BCP-230,Juan Tomas,Chicago Cubs
BCP-231,Juneiker Caceres,Cleveland Guardians
BCP-232,Nieves Izaguirre,Philadelphia Phillies
BCP-233,Jhonny Severino,Pittsburgh Pirates
BCP-234,Carson Williams,Tampa Bay Rays
BCP-235,Sadbiel Delzine,Boston Red Sox
BCP-236,Yairo Padilla,St. Louis Cardinals
BCP-237,Djean Macares,San Francisco Giants
BCP-238,Robert Hipwell,San Francisco Giants
BCP-239,Luis Peña,Milwaukee Brewers
BCP-240,Maykel Coret,Tampa Bay Rays
BCP-241,JJ Wetherholt,St. Louis Cardinals
BCP-242,Moises Marchán,Kansas City Royals
BCP-243,Bryce Boettcher,Houston Astros
BCP-244,Zach Cole,Houston Astros
BCP-245,Jesus Made,Milwaukee Brewers
BCP-246,Kale Fountain,San Diego Padres
BCP-247,Santiago Leon,Minnesota Twins
BCP-248,Charlie Condon,Colorado Rockies
BCP-249,Elian De La Cruz,Arizona Diamondbacks
BCP-250,Cris Rodriguez,Detroit Tigers
BCP-251,Tommy White,Athletics
BCP-252,DJ Layton,Baltimore Orioles
BA-1,Elian Peña,New York Mets
BA-2,Matt Shaw,Chicago Cubs
BA-3,JJ Wetherholt,St. Louis Cardinals
BA-4,Coby Mayo,Baltimore Orioles
BA-5,Aaron Judge,New York Yankees
BA-6,Kristian Campbell,Boston Red Sox
BA-7,Jackson Jobe,Detroit Tigers
BA-8,Walker Jenkins,Minnesota Twins
BA-9,Travis Bazzana,Cleveland Guardians
BA-10,Dylan Crews,Washington Nationals
BA-11,Jac Caglianone,Kansas City Royals
BA-12,Konnor Griffin,Pittsburgh Pirates
BA-13,Juan Soto,New York Mets
BA-14,Roman Anthony,Boston Red Sox
BA-15,Paul Skenes,Pittsburgh Pirates
BA-16,Shohei Ohtani,Los Angeles Dodgers
BA-17,James Wood,Washington Nationals
BA-18,Elly De La Cruz,Cincinnati Reds
BA-19,Bobby Witt Jr.,Kansas City Royals
BA-20,Roki Sasaki,Los Angeles Dodgers
BA-21,Mike Trout,Angels
BA-22,Hyeseong Kim,Los Angeles Dodgers
BA-23,Josuar Gonzalez,San Francisco Giants
BA-24,Luisangel Acuña,New York Mets
BA-25,Gunnar Henderson,Baltimore Orioles
BGP-1,Mike Trout,Angels
BGP-2,Christian Moore,Angels
