card_number,player_name,team
1,Jacob Wilson,Athletics
2,Hyeseong Kim,Los Angeles Dodgers
3,Dylan Crews,Washington Nationals
7,Bobby Witt Jr.,Kansas City Royals
8,Fernando Tatis Jr.,San Diego Padres
11,Mick Abel,Philadelphia Phillies
12,Roki Sasaki,Los Angeles Dodgers
13,Ronald Acuña Jr.,Atlanta Braves
14,Willy Adames,San Francisco Giants
17,Shohei Ohtani,Los Angeles Dodgers
18,Chandler Simpson,Tampa Bay Rays
21,José Ramírez,Cleveland Guardians
22,Juan Soto,New York Mets
26,Mookie Betts,Los Angeles Dodgers
27,Mike Trout,Angels
29,James Wood,Washington Nationals
30,Paul Skenes,Pittsburgh Pirates
32,Luisangel Acuña,New York Mets
33,Freddie Freeman,Los Angeles Dodgers
36,Wyatt Langford,Texas Rangers
37,Bryce Harper,Philadelphia Phillies
38,Jackson Merrill,San Diego Padres
39,Marcelo Mayer,Boston Red Sox
40,Jackson Chourio,Milwaukee Brewers
42,Moisés Ballesteros,Chicago Cubs
46,Matt Shaw,Chicago Cubs
49,Matt Chapman,San Francisco Giants
56,Bo Bichette,Toronto Blue Jays
57,Kyle Tucker,Chicago Cubs
58,Kristian Campbell,Boston Red Sox
59,Francisco Lindor,New York Mets
60,Seiya Suzuki,Chicago Cubs
61,Luke Keaschall,Minnesota Twins
62,Chase Dollander,Colorado Rockies
65,Lawrence Butler,Athletics
66,Julio Rodríguez,Seattle Mariners
71,Chase Meidroth,Chicago White Sox
74,Vladimir Guerrero Jr.,Toronto Blue Jays
75,Drake Baldwin,Atlanta Braves
76,Yoshinobu Yamamoto,Los Angeles Dodgers
77,Cam Smith,Houston Astros
80,Junior Caminero,Tampa Bay Rays
81,Yordan Alvarez,Houston Astros
83,Coby Mayo,Baltimore Orioles
84,Spencer Schwellenbach,Atlanta Braves
85,Corbin Carroll,Arizona Diamondbacks
89,Elly De La Cruz,Cincinnati Reds
93,Nick Kurtz,Athletics
95,Tarik Skubal,Detroit Tigers
99,Aaron Judge,New York Yankees
BCP-153,Josuar Gonzalez,San Francisco Giants
BCP-154,Jac Caglianone,Kansas City Royals
BCP-155,Elian Peña,New York Mets
BCP-156,Andrew Salas,Miami Marlins
BCP-159,Kendry Martínez,Seattle Mariners
BCP-162,Cristopher Polanco,Toronto Blue Jays
BCP-163,Johan De Los Santos,Pittsburgh Pirates
BCP-164,George Lombard Jr.,New York Yankees
BCP-166,Cam Schlittler,New York Yankees
BCP-167,Roman Anthony,Boston Red Sox
BCP-170,Shotaro Morii,Athletics
BCP-171,Bubba Chandler,Pittsburgh Pirates
BCP-174,Liberts Aponte,Cincinnati Reds
BCP-175,Raymer Medina,Tampa Bay Rays
BCP-178,Gabriel Davalillo,Angels
BCP-180,Bryce Eldridge,San Francisco Giants
BCP-186,Elorky Rodriguez,Texas Rangers
BCP-189,Stiven Marinez,New York Yankees
BCP-193,Jose Anderson,Milwaukee Brewers
BCP-194,Yorger Bautista,Seattle Mariners
BCP-197,Ayden Johnson,Athletics
BCP-198,Alirio Ferrebus,Philadelphia Phillies
BCP-199,Mani Cedeno,New York Yankees
BCP-200,Rainiel Rodriguez,St. Louis Cardinals
BCP-201,Anyelo Marquez,Angels
BCP-206,Bo Davidson,San Francisco Giants
BCP-207,Juan Cabada,Chicago Cubs
BCP-209,Wilfri De La Cruz,Chicago Cubs
BCP-211,Brayan Cortesia,Washington Nationals
BCP-213,Ronny Cruz,Chicago Cubs
BCP-214,Diego Tornes,Atlanta Braves
BCP-218,Luke Dickerson,Washington Nationals
BCP-221,Royelny Strop,St. Louis Cardinals
BCP-222,Yahil Melendez,Chicago Cubs
BCP-223,Jhoan De La Cruz,San Diego Padres
BCP-224,Ching-Hsien Ko,Los Angeles Dodgers
BCP-227,Kevin Alvarez,Houston Astros
BCP-230,Juan Tomas,Chicago Cubs
BCP-233,Jhonny Severino,Pittsburgh Pirates
BCP-234,Carson Williams,Tampa Bay Rays
BCP-236,Yairo Padilla,St. Louis Cardinals
BCP-237,Djean Macares,San Francisco Giants
BCP-240,Maykel Coret,Tampa Bay Rays
BCP-241,JJ Wetherholt,St. Louis Cardinals
BCP-245,Jesus Made,Milwaukee Brewers
BCP-247,Santiago Leon,Minnesota Twins
BCP-248,Charlie Condon,Colorado Rockies
BCP-249,Elian De La Cruz,Arizona Diamondbacks
BCP-250,Cris Rodriguez,Detroit Tigers
BCP-251,Tommy White,Athletics
MR-1,Bryce Eldridge,San Francisco Giants
MR-2,Mike Trout,Angels
MR-3,Jesús Made,Milwaukee Brewers
MR-4,Aaron Judge,New York Yankees
MR-5,James Wood,Washington Nationals
MR-6,Walker Jenkins,Minnesota Twins
MR-7,Nick Kurtz,Athletics
MR-8,Charlie Condon,Colorado Rockies
MR-9,Matt Shaw,Chicago Cubs
MR-10,Dylan Crews,Washington Nationals
MR-11,Bobby Witt Jr.,Kansas City Royals
MR-12,Shohei Ohtani,Los Angeles Dodgers
MR-13,Rafael Devers,San Francisco Giants
MR-14,Bryce Harper,Philadelphia Phillies
MR-15,Juan Soto,New York Mets
MR-16,Kristian Campbell,Boston Red Sox
MR-17,Jac Caglianone,Kansas City Royals
MR-18,George Lombard Jr.,New York Yankees
MR-19,Zyhir Hope,Los Angeles Dodgers
MR-20,JJ Wetherholt,St. Louis Cardinals
MR-21,Cam Smith,Houston Astros
MR-22,Coby Mayo,Baltimore Orioles
MR-23,Elly De La Cruz,Cincinnati Reds
MR-24,Ronald Acuña Jr.,Atlanta Braves
MR-25,Roman Anthony,Boston Red Sox
BA-1,Elian Peña,New York Mets
BA-2,Matt Shaw,Chicago Cubs
BA-3,JJ Wetherholt,St. Louis Cardinals
BA-4,Coby Mayo,Baltimore Orioles
BA-5,Aaron Judge,New York Yankees
BA-6,Kristian Campbell,Boston Red Sox
BA-7,Jackson Jobe,Detroit Tigers
BA-8,Walker Jenkins,Minnesota Twins
BA-9,Travis Bazzana,Cleveland Guardians
BA-10,Dylan Crews,Washington Nationals
BA-11,Jac Caglianone,Kansas City Royals
BA-12,Konnor Griffin,Pittsburgh Pirates
BA-13,Juan Soto,New York Mets
BA-14,Roman Anthony,Boston Red Sox
BA-15,Paul Skenes,Pittsburgh Pirates
BA-16,Shohei Ohtani,Los Angeles Dodgers
BA-17,James Wood,Washington Nationals
BA-18,Elly De La Cruz,Cincinnati Reds
BA-19,Bobby Witt Jr.,Kansas City Royals
BA-20,Roki Sasaki,Los Angeles Dodgers
BA-21,Mike Trout,Angels
BA-22,Hyeseong Kim,Los Angeles Dodgers
BA-23,Josuar Gonzalez,San Francisco Giants
BA-24,Luisangel Acuña,New York Mets
BA-25,Gunnar Henderson,Baltimore Orioles
BGP-30,Aaron Judge,New York Yankees
BGP-43,Albert Pujols,St. Louis Cardinals
BGP-33,Andrew Painter,Philadelphia Phillies
BGP-23,Bobby Witt Jr.,Kansas City Royals
BGP-40,Bryce Eldridge,San Francisco Giants
BGP-32,Bryce Harper,Philadelphia Phillies
BGP-11,Cam Smith,Houston Astros
BGP-45,Carson Williams,Tampa Bay Rays
BGP-19,Charlie Condon,Colorado Rockies
BGP-14,Chase Burns,Cincinnati Reds
BGP-2,Christian Moore,Angels
BGP-6,Coby Mayo,Baltimore Orioles
BGP-15,Colson Montgomery,Chicago White Sox
BGP-46,Corey Seager,Texas Rangers
BGP-8,David Ortiz,Boston Red Sox
BGP-31,Derek Jeter,New York Yankees
BGP-48,Dylan Crews,Washington Nationals
BGP-16,Elly De La Cruz,Cincinnati Reds
BGP-37,Fernando Tatis Jr.,San Diego Padres
BGP-29,Francisco Lindor,New York Mets
BGP-7,Gunnar Henderson,Baltimore Orioles
BGP-41,Ichiro,Seattle Mariners
BGP-22,Jac Caglianone,Kansas City Royals
BGP-25,Jackson Chourio,Milwaukee Brewers
BGP-20,Jackson Jobe,Detroit Tigers
BGP-38,Jackson Merrill,San Diego Padres
BGP-49,James Wood,Washington Nationals
BGP-44,JJ Wetherholt,St. Louis Cardinals
BGP-28,Juan Soto,New York Mets
BGP-42,Ken Griffey Jr.,Seattle Mariners
BGP-34,Konnor Griffin,Pittsburgh Pirates
BGP-17,Kristian Campbell,Boston Red Sox
BGP-36,Leo De Vries,San Diego Padres
BGP-27,Luisangel Acuña,New York Mets
BGP-21,Matt Shaw,Chicago Cubs
BGP-39,Miguel Cabrera,Detroit Tigers
BGP-1,Mike Trout,Angels
BGP-3,Nick Kurtz,Athletics
BGP-35,Paul Skenes,Pittsburgh Pirates
BGP-10,Rafael Devers,Boston Red Sox
BGP-50,Roki Sasaki,Los Angeles Dodgers
BGP-9,Roman Anthony,Boston Red Sox
BGP-4,Ronald Acuña Jr.,Atlanta Braves
BGP-13,Sammy Sosa,Chicago Cubs
BGP-5,Samuel Basallo,Baltimore Orioles
BGP-24,Shohei Ohtani,Los Angeles Dodgers
BGP-12,Shota Imanaga,Chicago Cubs
BGP-18,Travis Bazzana,Cleveland Guardians
BGP-47,Vladimir Guerrero Jr.,Toronto Blue Jays
BGP-26,Walker Jenkins,Minnesota Twins
BMA-AS,Andrew Salas,Miami Marlins
BMA-AS,Aidan Smith,Tampa Bay Rays
BMA-BC,Brayan Cortesia,Washington Nationals
BMA-BM,Braden Montgomery,Chicago White Sox
BMA-BP,Brock Porter,Texas Rangers
BMA-CB,Carson Benge,New York Mets
BMA-CC,Charlie Condon,Colorado Rockies
BMA-CP,Cooper Pratt,Milwaukee Brewers
BMA-CR,Cris Rodriguez,Detroit Tigers
BMA-CW,Carson Williams,Tampa Bay Rays
BMA-DDR,Dylan Dreiling,Texas Rangers
BMA-DN,Dante Nori,Philadelphia Phillies
BMA-DT,Diego Tornes,Atlanta Braves
BMA-EJ,Enrique Jimenez,Detroit Tigers
BMA-EM,Emil Morales,Los Angeles Dodgers
BMA-EP,Elian Peña,New York Mets
BMA-EQ,Eduardo Quintero,Los Angeles Dodgers
BMA-GB,Griffin Burkholder,Philadelphia Phillies
BMA-GD,Gabriel Davalillo,Angels
