card_number,player_name,team
BDC-1,Eli Willits,Washington Nationals
BDC-2,Xavier Neyens,Houston Astros
BDC-3,Kade Anderson,Seattle Mariners
BDC-4,Gage Wood,Philadelphia Phillies
BDC-5,Max Belyeu,Colorado Rockies
BDC-6,Aidan West,Los Angeles Dodgers
BDC-7,Taitn Gray,Tampa Bay Rays
BDC-8,JoJo Parker,Toronto Blue Jays
BDC-9,Spencer Jones,New York Yankees
BDC-10,Billy Carlson,Chicago White Sox
BDC-11,Mike Sirota,Los Angeles Dodgers
BDC-12,Liam Doyle,St. Louis Cardinals
BDC-13,Franklin Arias,Boston Red Sox
BDC-14,J.D. Thompson,Milwaukee Brewers
BDC-15,Gavin Fien,Texas Rangers
BDC-16,Ike Irish,Baltimore Orioles
BDC-17,Ethan Conrad,Chicago Cubs
BDC-18,Braden Montgomery,Chicago White Sox
BDC-19,Roc Riggio,Colorado Rockies
BDC-20,Steele Hall,Cincinnati Reds
BDC-21,Josiah Hartshorn,Chicago Cubs
BDC-22,Zach Root,Los Angeles Dodgers
BDC-23,Riley Quick,Minnesota Twins
BDC-24,Joswa Lugo,Angels
BDC-25,Seth Hernandez,Pittsburgh Pirates
BDC-26,Thomas White,Miami Marlins
BDC-27,Mason Peters,Seattle Mariners
BDC-28,Gavin Turley,Athletics
BDC-29,Kyson Witherspoon,Boston Red Sox
BDC-30,Jamie Arnold,Athletics
BDC-31,Yandel Ricardo,Kansas City Royals
BDC-32,Tyson Lewis,Cincinnati Reds
BDC-33,Dante Nori,Philadelphia Phillies
BDC-34,Andrew Salas,Miami Marlins
BDC-35,Arjun Nimmala,Toronto Blue Jays
BDC-36,Tommy Troy,Arizona Diamondbacks
BDC-37,Tyler Bremner,Angels
BDC-38,Nate Snead,Angels
BDC-39,Eduardo Tait,Minnesota Twins
BDC-40,Gavin Kilen,San Francisco Giants
BDC-41,Ryan Waldschmidt,Arizona Diamondbacks
BDC-42,Jacob Morrison,Milwaukee Brewers
BDC-43,George Lombard Jr.,New York Yankees
BDC-44,Landon Harmon,Washington Nationals
BDC-45,Walker Janek,Houston Astros
BDC-46,Trevor Cohen,San Francisco Giants
BDC-47,Colin Yeaman,Baltimore Orioles
BDC-48,Max Clark,Detroit Tigers
BDC-49,Travis Bazzana,Cleveland Guardians
BDC-50,Easton Carmichael,Pittsburgh Pirates
BDC-51,AJ Russell,Texas Rangers
BDC-52,Pico Kohn,New York Yankees
BDC-53,Dominick Reid,Chicago Cubs
BDC-54,Marcus Phillips,Boston Red Sox
BDC-55,Jhonny Level,San Francisco Giants
BDC-56,Antonio Jimenez,New York Mets
BDC-57,Matthew Miura,St. Louis Cardinals
BDC-58,Ty Harvey,San Diego Padres
BDC-59,Kevin McGonigle,Detroit Tigers
BDC-60,Josue Briceño,Detroit Tigers
BDC-61,Luke Dickerson,Washington Nationals
BDC-62,Justin Lamkin,Kansas City Royals
BDC-63,Caden Bodine,Baltimore Orioles
