player,card_number,set_name,year,sport,team,category,insert_name,is_rookie
Eli Willits,BDC-1,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Washington Nationals,Base,,True
Xavier Neyens,BDC-2,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Houston Astros,Base,,True
Kade Anderson,BDC-3,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Seattle Mariners,Base,,True
Gage Wood,BDC-4,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Philadelphia Phillies,Base,,True
Max Belyeu,BDC-5,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Colorado Rockies,Base,,True
Aidan West,BDC-6,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Los Angeles Dodgers,Base,,True
Taitn Gray,BDC-7,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Tampa Bay Rays,Base,,True
JoJo Parker,BDC-8,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Toronto Blue Jays,Base,,True
Spencer Jones,BDC-9,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,New York Yankees,Base,,True
Billy Carlson,BDC-10,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Chicago White Sox,Base,,True
Mike Sirota,BDC-11,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Los Angeles Dodgers,Base,,True
Liam Doyle,BDC-12,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,St. Louis Cardinals,Base,,True
Franklin Arias,BDC-13,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Boston Red Sox,Base,,True
J.D. Thompson,BDC-14,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Milwaukee Brewers,Base,,True
Gavin Fien,BDC-15,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Texas Rangers,Base,,True
Ike Irish,BDC-16,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Baltimore Orioles,Base,,True
Ethan Conrad,BDC-17,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Chicago Cubs,Base,,True
Braden Montgomery,BDC-18,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Chicago White Sox,Base,,True
Roc Riggio,BDC-19,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Colorado Rockies,Base,,True
Steele Hall,BDC-20,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Cincinnati Reds,Base,,True
Josiah Hartshorn,BDC-21,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Chicago Cubs,Base,,True
Zach Root,BDC-22,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Los Angeles Dodgers,Base,,True
Riley Quick,BDC-23,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Minnesota Twins,Base,,True
Joswa Lugo,BDC-24,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Angels,Base,,True
Seth Hernandez,BDC-25,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Pittsburgh Pirates,Base,,True
Thomas White,BDC-26,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Miami Marlins,Base,,True
Mason Peters,BDC-27,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Seattle Mariners,Base,,True
Gavin Turley,BDC-28,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Athletics,Base,,True
Kyson Witherspoon,BDC-29,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Boston Red Sox,Base,,True
Jamie Arnold,BDC-30,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Athletics,Base,,True
Yandel Ricardo,BDC-31,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Kansas City Royals,Base,,True
Tyson Lewis,BDC-32,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Cincinnati Reds,Base,,True
Dante Nori,BDC-33,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Philadelphia Phillies,Base,,True
Andrew Salas,BDC-34,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Miami Marlins,Base,,True
Arjun Nimmala,BDC-35,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Toronto Blue Jays,Base,,True
Tommy Troy,BDC-36,2025 Bowman Draft Baseball Sapphire Edition,2025,Baseball,Arizona Diamondbacks,Base,,True
