card_number,player_name,team
1,Mike Trout,Angels
2,Gunnar Henderson,Baltimore Orioles
3,Bryce Harper,Philadelphia Phillies
5,Freddie Freeman,Los Angeles Dodgers
6,Rhett Lowder,Cincinnati Reds
7,Bobby Witt Jr.,Kansas City Royals
8,Drew Thorpe,Chicago White Sox
9,Jacob Wilson,Athletics
11,Jackson Chourio,Milwaukee Brewers
12,Roki Sasaki,Los Angeles Dodgers
13,Junior Caminero,Tampa Bay Rays
16,Mookie Betts,Los Angeles Dodgers
17,Shohei Ohtani,Los Angeles Dodgers
18,Yoshinobu Yamamoto,Los Angeles Dodgers
20,Tarik Skubal,Detroit Tigers
21,Ronald Acuña Jr.,Atlanta Braves
22,Juan Soto,New York Mets
23,Fernando Tatis Jr.,San Diego Padres
27,Vladimir Guerrero Jr.,Toronto Blue Jays
29,James Wood,Washington Nationals
30,Paul Skenes,Pittsburgh Pirates
32,Austin Riley,Atlanta Braves
33,Wyatt Langford,Texas Rangers
37,Coby Mayo,Baltimore Orioles
38,Corey Seager,Texas Rangers
42,Dylan Crews,Washington Nationals
43,Kyle Tucker,Chicago Cubs
44,Elly De La Cruz,Cincinnati Reds
46,Connor Norby,Miami Marlins
50,Jackson Jobe,Detroit Tigers
57,Thomas Saggese,St. Louis Cardinals
59,Jace Jung,Detroit Tigers
61,Hurston Waldrep,Atlanta Braves
63,Jose Altuve,Houston Astros
64,Jackson Merrill,San Diego Padres
65,Trea Turner,Philadelphia Phillies
72,Brooks Lee,Minnesota Twins
77,Jackson Holliday,Baltimore Orioles
78,Spencer Schwellenbach,Atlanta Braves
79,Julio Rodríguez,Seattle Mariners
80,Kumar Rocker,Texas Rangers
81,Jhonkensy Noel,Cleveland Guardians
83,Luisangel Acuña,New York Mets
86,Francisco Lindor,New York Mets
89,José Ramírez,Cleveland Guardians
91,Hyeseong Kim,Los Angeles Dodgers
92,Bo Bichette,Toronto Blue Jays
94,Caden Dana,Angels
96,Corbin Carroll,Arizona Diamondbacks
99,Aaron Judge,New York Yankees
BCP-1,Walker Jenkins,Minnesota Twins
BCP-5,Franyerber Montilla,Detroit Tigers
BCP-13,Josue Briceno,Detroit Tigers
BCP-15,Walker Janek,Houston Astros
BCP-16,Engelth Urena,New York Yankees
BCP-20,Ashly Andujar,Colorado Rockies
BCP-21,Slade Caldwell,Arizona Diamondbacks
BCP-22,JJ Wetherholt,St. Louis Cardinals
BCP-24,Max Clark,Detroit Tigers
BCP-25,Quinn Mathews,St. Louis Cardinals
BCP-33,Aron Estrada,Baltimore Orioles
BCP-36,Yophery Rodriguez,Milwaukee Brewers
BCP-37,Esmith Pineda,Cincinnati Reds
BCP-38,Luis Pena,Milwaukee Brewers
BCP-41,Mitch Jebb,Pittsburgh Pirates
BCP-43,Jhostynxon Garcia,Boston Red Sox
BCP-44,Hagen Smith,Chicago White Sox
BCP-45,Victor Rodrigues,Los Angeles Dodgers
BCP-48,Cam Smith,Houston Astros
BCP-50,Jesus Made,Milwaukee Brewers
BCP-51,Hyun-Seok Jang,Los Angeles Dodgers
BCP-63,George Klassen,Angels
BCP-65,Aroon Escobar,Philadelphia Phillies
BCP-67,Franklin Arias,Boston Red Sox
BCP-69,Thomas White,Miami Marlins
BCP-75,Charlie Condon,Colorado Rockies
BCP-77,Khadim Diaw,Minnesota Twins
BCP-79,Kevin McGonigle,Detroit Tigers
BCP-80,Edgleen Perez,New York Yankees
BCP-84,Jansel Luis,Arizona Diamondbacks
BCP-86,Konnor Griffin,Pittsburgh Pirates
BCP-91,PJ Morlando,Miami Marlins
BCP-95,Tsung-Che Cheng,Pittsburgh Pirates
BCP-99,Naibel Mariano,Cincinnati Reds
BCP-100,Sammy Stafura,Cincinnati Reds
BCP-103,Jac Caglianone,Kansas City Royals
BCP-104,Cobb Hightower,San Diego Padres
BCP-107,Christian Moore,Angels
BCP-114,Nick Kurtz,Athletics
BCP-115,Eduardo Quintero,Los Angeles Dodgers
BCP-119,Hyungchan Um,Kansas City Royals
BCP-121,Winston Santos,Texas Rangers
BCP-122,Chase Burns,Cincinnati Reds
BCP-123,Jhonayker Ugarte,Kansas City Royals
BCP-131,Travis Bazzana,Cleveland Guardians
BCP-132,Braden Montgomery,Chicago White Sox
BCP-135,Lucas Ramirez,Angels
BCP-139,Kyle DeBarge,Minnesota Twins
BCP-146,Yeremi Cabrera,Texas Rangers
BCP-147,Jhonny Level,San Francisco Giants
ROY-1,Dylan Crews,Washington Nationals
ROY-2,Coby Mayo,Baltimore Orioles
ROY-3,Jackson Jobe,Detroit Tigers
ROY-4,Luisangel Acuña,New York Mets
ROY-5,Kumar Rocker,Texas Rangers
