card_number,player_name,team
1,Corey Seager,Texas Rangers
2,Kyle Tucker,Chicago Cubs
3,Garrett Crochet,Boston Red Sox
4,Juan Soto,New York Mets
5,Marcelo Mayer,Boston Red Sox
6,Manny Machado,San Diego Padres
7,Jung Hoo Lee,San Francisco Giants
8,Corbin Carroll,Arizona Diamondbacks
9,Kyle Stowers,Miami Marlins
10,Jackson Chourio,Milwaukee Brewers
11,Kristian Campbell,Boston Red Sox
12,Tarik Skubal,Detroit Tigers
13,Ronald Acuña Jr.,Atlanta Braves
14,José Ramírez,Cleveland Guardians
15,Matt Shaw,Chicago Cubs
16,Agustín Ramírez,Miami Marlins
17,Jackson Merrill,San Diego Padres
18,Roki Sasaki,Los Angeles Dodgers
19,Mason Miller,San Diego Padres
20,Matt Olson,Atlanta Braves
21,Rafael Devers,San Francisco Giants
22,Vladimir Guerrero Jr.,Toronto Blue Jays
23,Will Smith,Los Angeles Dodgers
24,James Wood,Washington Nationals
25,Andrew Abbott,Cincinnati Reds
26,Mike Trout,Angels
27,Dylan Crews,Washington Nationals
28,Jazz Chisholm Jr.,New York Yankees
29,Cam Smith,Houston Astros
30,Chase Dollander,Colorado Rockies
31,Jacob Wilson,Athletics
32,Jackson Holliday,Baltimore Orioles
33,Dalton Rushing,Los Angeles Dodgers
34,Jeremy Peña,Houston Astros
35,Pete Crow-Armstrong,Chicago Cubs
36,Gunnar Henderson,Baltimore Orioles
37,Elly De La Cruz,Cincinnati Reds
38,Aaron Judge,New York Yankees
39,Bo Bichette,Toronto Blue Jays
40,Paul Skenes,Pittsburgh Pirates
41,Hunter Goodman,Colorado Rockies
42,Nick Kurtz,Athletics
43,Seiya Suzuki,Chicago Cubs
44,Masyn Winn,St. Louis Cardinals
45,Hyeseong Kim,Los Angeles Dodgers
46,Shohei Ohtani,Los Angeles Dodgers
47,Zach Neto,Angels
48,Byron Buxton,Minnesota Twins
49,Julio Rodríguez,Seattle Mariners
50,Carlos Correa,Houston Astros
51,Pete Alonso,New York Mets
52,Freddie Freeman,Los Angeles Dodgers
53,Junior Caminero,Tampa Bay Rays
54,Fernando Tatis Jr.,San Diego Padres
55,Cal Raleigh,Seattle Mariners
56,Kyle Schwarber,Philadelphia Phillies
57,Jacob deGrom,Texas Rangers
58,Francisco Lindor,New York Mets
59,Riley Greene,Detroit Tigers
60,Drake Baldwin,Atlanta Braves
61,Steven Kwan,Cleveland Guardians
62,Ketel Marte,Arizona Diamondbacks
63,Wyatt Langford,Texas Rangers
64,Mookie Betts,Los Angeles Dodgers
65,Bryce Harper,Philadelphia Phillies
66,Chandler Simpson,Tampa Bay Rays
67,Cristopher Sánchez,Philadelphia Phillies
68,Spencer Schwellenbach,Atlanta Braves
69,Bobby Witt Jr.,Kansas City Royals
70,Luke Keaschall,Minnesota Twins
TP-1,Max Clark,Detroit Tigers
TP-2,Christian Moore,Angels
TP-3,Jac Caglianone,Kansas City Royals
TP-4,Colson Montgomery,Chicago White Sox
TP-5,Travis Bazzana,Cleveland Guardians
TP-6,Kade Anderson,Seattle Mariners
TP-7,Walker Jenkins,Minnesota Twins
TP-8,Charlie Condon,Colorado Rockies
TP-9,Bubba Chandler,Pittsburgh Pirates
TP-10,Carson Williams,Tampa Bay Rays
TP-11,Andrew Painter,Philadelphia Phillies
TP-12,Jacob Misiorowski,Milwaukee Brewers
TP-13,Josuar Gonzalez,San Francisco Giants
TP-14,JJ Wetherholt,St. Louis Cardinals
TP-15,Bryce Eldridge,San Francisco Giants
TP-16,Roman Anthony,Boston Red Sox
TP-17,Jesús Made,Milwaukee Brewers
TP-18,Brice Matthews,Houston Astros
TP-19,Braden Montgomery,Chicago White Sox
TP-20,Eli Willits,Washington Nationals
TP-21,Chase Burns,Cincinnati Reds
TP-22,Carson Benge,New York Mets
TP-23,George Lombard Jr.,New York Yankees
TP-24,Luis Peña,Milwaukee Brewers
TP-25,Sebastian Walcott,Texas Rangers
TP-26,Leo De Vries,Athletics
TP-27,Konnor Griffin,Pittsburgh Pirates
TP-28,Kevin McGonigle,Detroit Tigers
TP-29,Eduardo Quintero,Los Angeles Dodgers
TP-30,Slade Caldwell,Arizona Diamondbacks
P-1,James Wood,Washington Nationals
P-2,Pete Crow-Armstrong,Chicago Cubs
P-3,Liam Doyle,St. Louis Cardinals
P-4,Jacob Wilson,Athletics
P-5,Ronald Acuña Jr.,Atlanta Braves
P-6,Charlie Condon,Colorado Rockies
P-7,Roki Sasaki,Los Angeles Dodgers
P-8,Nick Kurtz,Athletics
P-9,Mike Trout,Angels
P-10,Elly De La Cruz,Cincinnati Reds
P-11,Cal Raleigh,Seattle Mariners
P-12,Adley Rutschman,Baltimore Orioles
P-13,Bobby Witt Jr.,Kansas City Royals
P-14,Paul Skenes,Pittsburgh Pirates
P-15,Konnor Griffin,Pittsburgh Pirates
P-16,Tarik Skubal,Detroit Tigers
P-17,Jesús Made,Milwaukee Brewers
P-18,Marcelo Mayer,Boston Red Sox
P-19,Cam Smith,Houston Astros
P-20,Francisco Lindor,New York Mets
P-21,Eli Willits,Washington Nationals
P-22,José Ramírez,Cleveland Guardians
P-23,Aaron Judge,New York Yankees
P-24,Bryce Harper,Philadelphia Phillies
P-25,Shohei Ohtani,Los Angeles Dodgers
C-1,Bobby Witt Jr.,Kansas City Royals
C-2,Bryce Harper,Philadelphia Phillies
C-3,Roman Anthony,Boston Red Sox
C-4,Jacob Wilson,Athletics
C-5,Liam Doyle,St. Louis Cardinals
C-6,Julio Rodríguez,Seattle Mariners
C-7,Corbin Carroll,Arizona Diamondbacks
C-8,Jac Caglianone,Kansas City Royals
C-9,Junior Caminero,Tampa Bay Rays
C-10,Elly De La Cruz,Cincinnati Reds
C-11,Jacob Misiorowski,Milwaukee Brewers
C-12,Drake Baldwin,Atlanta Braves
C-13,Leo De Vries,Athletics
C-14,Shohei Ohtani,Los Angeles Dodgers
C-15,Charlie Condon,Colorado Rockies
C-16,Nick Kurtz,Athletics
C-17,Tarik Skubal,Detroit Tigers
C-18,Pete Crow-Armstrong,Chicago Cubs
C-19,Cam Smith,Houston Astros
C-20,Gunnar Henderson,Baltimore Orioles
C-21,Paul Skenes,Pittsburgh Pirates
C-22,Fernando Tatis Jr.,San Diego Padres
C-23,Eli Willits,Washington Nationals
C-24,Roki Sasaki,Los Angeles Dodgers
C-25,Marcelo Mayer,Boston Red Sox
BP-1,Paul Skenes,Pittsburgh Pirates
BP-2,Bobby Witt Jr.,Kansas City Royals
BP-3,Corbin Carroll,Arizona Diamondbacks
BP-4,Wyatt Langford,Texas Rangers
BP-5,Jackson Chourio,Milwaukee Brewers
BP-6,Jackson Merrill,San Diego Padres
BP-7,Dylan Crews,Washington Nationals
BP-8,James Wood,Washington Nationals
BP-9,Hyeseong Kim,Los Angeles Dodgers
BP-10,Carson Williams,Tampa Bay Rays
BP-11,Travis Bazzana,Cleveland Guardians
BP-12,Walker Jenkins,Minnesota Twins
BP-13,Jac Caglianone,Kansas City Royals
BP-14,Leo De Vries,Athletics
BP-15,JJ Wetherholt,St. Louis Cardinals
BP-16,Cam Smith,Houston Astros
BP-17,Bubba Chandler,Pittsburgh Pirates
BP-18,Samuel Basallo,Baltimore Orioles
BP-19,Roman Anthony,Boston Red Sox
BP-20,Jesús Made,Milwaukee Brewers
BP-21,Shohei Ohtani,Los Angeles Dodgers
BP-22,Mike Trout,Angels
BP-23,Roki Sasaki,Los Angeles Dodgers
BP-24,Ronald Acuña Jr.,Atlanta Braves
BP-25,Max Clark,Detroit Tigers
BP-26,Kyle Tucker,Chicago Cubs
BP-27,Marcelo Mayer,Boston Red Sox
BP-28,Jacob Wilson,Athletics
BP-29,Christian Moore,Angels
BP-30,Drake Baldwin,Atlanta Braves
SG-1,James Wood,Washington Nationals
SG-2,Jacob Wilson,Athletics
SG-3,Dylan Crews,Washington Nationals
SG-4,Nick Kurtz,Athletics
SG-5,Drake Baldwin,Atlanta Braves
SG-6,Marcelo Mayer,Boston Red Sox
SG-7,Hyeseong Kim,Los Angeles Dodgers
SG-8,Cam Smith,Houston Astros
SG-9,Luke Keaschall,Minnesota Twins
SG-10,Dalton Rushing,Los Angeles Dodgers
SG-11,Aaron Judge,New York Yankees
SG-12,Shohei Ohtani,Los Angeles Dodgers
SG-13,Ronald Acuña Jr.,Atlanta Braves
SG-14,Cal Raleigh,Seattle Mariners
SG-15,Pete Crow-Armstrong,Chicago Cubs
SG-16,Elly De La Cruz,Cincinnati Reds
SG-17,George Lombard Jr.,New York Yankees
SG-18,Charlie Condon,Colorado Rockies
SG-19,Eli Willits,Washington Nationals
SG-20,Konnor Griffin,Pittsburgh Pirates
SG-21,Jac Caglianone,Kansas City Royals
