card_number,player,team,category,insert_name,is_rookie
1,Marvin Harrison Jr.,Arizona Cardinals,Base,,false
2,Michael Wilson,Arizona Cardinals,Base,,false
3,Paris Johnson Jr.,Arizona Cardinals,Base,,false
4,Trey McBride,Arizona Cardinals,Base,,false
5,Kyler Murray,Arizona Cardinals,Base,,false
6,Garrett Williams,Arizona Cardinals,Base,,false
7,Trey Benson,Arizona Cardinals,Base,,false
8,Budda Baker,Arizona Cardinals,Base,,false
9,Darius Robinson,Arizona Cardinals,Base,,false
10,Josh Sweat,Arizona Cardinals,Base,,false
11,Darnell Mooney,Atlanta Falcons,Base,,false
12,Drake London,Atlanta Falcons,Base,,false
13,Kirk Cousins,Atlanta Falcons,Base,,false
14,Kyle Pitts,Atlanta Falcons,Base,,false
15,Michael Penix Jr.,Atlanta Falcons,Base,,false
16,Bijan Robinson,Atlanta Falcons,Base,,false
17,Tyler Allgeier,Atlanta Falcons,Base,,false
18,Leonard Floyd,Atlanta Falcons,Base,,false
19,A.J. Terrell,Atlanta Falcons,Base,,false
20,DeAndre Hopkins,Baltimore Ravens,Base,,false
21,Rashod Bateman,Baltimore Ravens,Base,,false
22,Zay Flowers,Baltimore Ravens,Base,,false
23,Mark Andrews,Baltimore Ravens,Base,,false
24,Lamar Jackson,Baltimore Ravens,Base,,false
25,Derrick Henry,Baltimore Ravens,Base,,false
26,Devontez Walker,Baltimore Ravens,Base,,false
27,Roquan Smith,Baltimore Ravens,Base,,false
28,Nate Wiggins,Baltimore Ravens,Base,,false
29,Kyle Hamilton,Baltimore Ravens,Base,,false
30,Keon Coleman,Buffalo Bills,Base,,false
31,Joshua Palmer,Buffalo Bills,Base,,false
32,Khalil Shakir,Buffalo Bills,Base,,false
33,Dawson Knox,Buffalo Bills,Base,,false
34,Josh Allen,Buffalo Bills,Base,,false
35,James Cook,Buffalo Bills,Base,,false
36,Joey Bosa,Buffalo Bills,Base,,false
37,Dalton Kincaid,Buffalo Bills,Base,,false
38,Xavier Legette,Carolina Panthers,Base,,false
39,Jalen Coker,Carolina Panthers,Base,,false
40,Bryce Young,Carolina Panthers,Base,,false
41,Jaycee Horn,Carolina Panthers,Base,,false
42,Chuba Hubbard,Carolina Panthers,Base,,false
43,Rico Dowdle,Carolina Panthers,Base,,false
44,Tommy Tremble,Carolina Panthers,Base,,false
45,Ja'Tavion Sanders,Carolina Panthers,Base,,false
46,Bobby Brown III,Carolina Panthers,Base,,false
47,Derrick Brown,Carolina Panthers,Base,,false
48,DJ Moore,Chicago Bears,Base,,false
49,Rome Odunze,Chicago Bears,Base,,false
50,Joe Thuney,Chicago Bears,Base,,false
51,Cole Kmet,Chicago Bears,Base,,false
52,Caleb Williams,Chicago Bears,Base,,false
53,D'Andre Swift,Chicago Bears,Base,,false
54,Tyson Bagent,Chicago Bears,Base,,false
