card_number,player_name,team
1,Shohei Ohtani,Los Angeles Dodgers
2,Nolan Ryan,Texas Rangers
3,Luisangel Acuña,New York Mets
4,Hank Aaron,Atlanta Braves
5,Mike Schmidt,Philadelphia Phillies
6,Randy Johnson,Arizona Diamondbacks
7,Miguel Cabrera,Detroit Tigers
8,Julio Rodríguez,Seattle Mariners
9,Paul Skenes,Pittsburgh Pirates
10,Will Clark,San Francisco Giants
11,Pedro Martinez,Boston Red Sox
12,Barry Bonds,San Francisco Giants
13,Johnny Bench,Cincinnati Reds
14,Vladimir Guerrero Jr.,Toronto Blue Jays
15,Ryne Sandberg,Chicago Cubs
16,Ted Williams,Boston Red Sox
17,Mike Piazza,New York Mets
18,Willie Mays,San Francisco Giants
19,Greg Maddux,Atlanta Braves
20,Tony Gwynn,San Diego Padres
21,Kirby Puckett,Minnesota Twins
22,Joe DiMaggio,New York Yankees
23,Jose Altuve,Houston Astros
24,Juan Soto,New York Mets
25,Lawrence Butler,Athletics
26,Ichiro,Seattle Mariners
27,Bo Jackson,Kansas City Royals
28,Bryce Harper,Philadelphia Phillies
29,Stan Musial,St. Louis Cardinals
30,Manny Machado,San Diego Padres
31,Kevin Alcántara,Chicago Cubs
32,Luke Keaschall,Minnesota Twins
33,Ozzie Smith,St. Louis Cardinals
34,José Ramírez,Cleveland Guardians
35,Cam Smith,Houston Astros
36,Sandy Koufax,Los Angeles Dodgers
37,Fernando Tatis Jr.,San Diego Padres
38,Elly De La Cruz,Cincinnati Reds
39,Pete Alonso,New York Mets
40,Cal Ripken Jr.,Baltimore Orioles
41,Frank Thomas,Chicago White Sox
42,Derek Jeter,New York Yankees
43,Drake Baldwin,Atlanta Braves
44,David Ortiz,Boston Red Sox
45,Chipper Jones,Atlanta Braves
46,Yadier Molina,St. Louis Cardinals
47,Roberto Clemente,Pittsburgh Pirates
48,Barry Larkin,Cincinnati Reds
49,Rhett Lowder,Cincinnati Reds
50,Kristian Campbell,Boston Red Sox
51,Hideo Nomo,Los Angeles Dodgers
52,Coby Mayo,Baltimore Orioles
53,Yogi Berra,New York Yankees
54,James Wood,Washington Nationals
55,Ty Cobb,Detroit Tigers
56,Robin Yount,Milwaukee Brewers
57,Jackson Jobe,Detroit Tigers
58,Brooks Lee,Minnesota Twins
59,Clayton Kershaw,Los Angeles Dodgers
60,Hyeseong Kim,Los Angeles Dodgers
62,Reggie Jackson Oakland,Athletics
63,Mookie Betts,Los Angeles Dodgers
64,Nick Kurtz,Athletics
65,Bobby Witt Jr.,Kansas City Royals
66,Freddie Freeman,Los Angeles Dodgers
67,Dylan Crews,Washington Nationals
68,Christian Yelich,Milwaukee Brewers
69,Gunnar Henderson,Baltimore Orioles
70,Rickey Henderson Oakland,Athletics
71,Mickey Mantle,New York Yankees
72,Babe Ruth,New York Yankees
73,Joe Mauer,Minnesota Twins
74,Corey Seager,Texas Rangers
75,Roger Clemens,Boston Red Sox
76,Sammy Sosa,Chicago Cubs
77,Adrian Beltré,Texas Rangers
78,Yordan Alvarez,Houston Astros
79,Ronald Acuña Jr.,Atlanta Braves
80,Pete Rose,Cincinnati Reds
81,Jacob Wilson,Athletics
82,Ernie Banks,Chicago Cubs
83,Mark McGwire Oakland,Athletics
84,Matt Shaw,Chicago Cubs
85,Roger Maris,New York Yankees
86,Buster Posey,San Francisco Giants
87,Honus Wagner,Pittsburgh Pirates
88,Roki Sasaki,Los Angeles Dodgers
89,Dalton Rushing,Los Angeles Dodgers
90,Lou Gehrig,New York Yankees
91,Marcelo Mayer,Boston Red Sox
92,Corbin Carroll,Arizona Diamondbacks
93,Francisco Lindor,New York Mets
94,Ken Griffey Jr.,Seattle Mariners
95,Adley Rutschman,Baltimore Orioles
96,Albert Pujols,St. Louis Cardinals
98,George Brett,Kansas City Royals
99,Aaron Judge,New York Yankees
100,Mike Trout,Angels
CCOPA-AR,Adley Rutschman,Baltimore Orioles
CCOPA-AV,Anthony Volpe,New York Yankees
CCOPA-BJ,Bo Jackson,Kansas City Royals
CCOPA-BL,Brooks Lee,Minnesota Twins
CCOPA-BW,Bobby Witt Jr.,Kansas City Royals
CCOPA-CB,Craig Biggio,Houston Astros
CCOPA-CC,Corbin Carroll,Arizona Diamondbacks
CCOPA-CF,Carlton Fisk,Boston Red Sox
CCOPA-CJ,Chipper Jones,Atlanta Braves
CCOPA-CM,Coby Mayo,Baltimore Orioles
CCOPA-CR,Cal Ripken Jr.,Baltimore Orioles
CCOPA-DC,Dylan Crews,Washington Nationals
CCOPA-DJ,Derek Jeter,New York Yankees
CCOPA-DM,Dale Murphy,Atlanta Braves
CCOPA-DMA,Don Mattingly,New York Yankees
CCOPA-DW,David Wright,New York Mets
CCOPA-FT,Frank Thomas,Chicago White Sox
CCOPA-GB,George Brett,Kansas City Royals
CCOPA-GH,Gunnar Henderson,Baltimore Orioles
CCOPA-GM,Greg Maddux,Chicago Cubs
CCOPA-JA,Jose Altuve,Houston Astros
CCOPA-JM,Jackson Merrill,San Diego Padres
CCOPA-JR,Julio Rodríguez,Seattle Mariners
CCOPA-JS,Juan Soto,New York Mets
CCOPA-JW,James Wood,Washington Nationals
CCOPA-MC,Matt Chapman,San Francisco Giants
CCOPA-MM,Mark McGwire Oakland,Athletics
CCOPA-MMA,Manny Machado,San Diego Padres
CCOPA-MO,Matt Olson,Atlanta Braves
CCOPA-MR,Mariano Rivera,New York Yankees
CCOPA-MS,Mike Schmidt,Philadelphia Phillies
CCOPA-MT,Mike Trout,Angels
CCOPA-NO,Nolan Ryan,Houston Astros
CCOPA-NR,Nolan Ryan,California
CCOPA-NRY,Nolan Ryan,Texas Rangers
CCOPA-OS,Ozzie Smith,St. Louis Cardinals
CCOPA-PA,Pete Alonso,New York Mets
CCOPA-PG,Paul Goldschmidt,New York Yankees
CCOPA-PS,Paul Skenes,Pittsburgh Pirates
CCOPA-RA,Ronald Acuña Jr.,Atlanta Braves
CCOPA-RC,Roger Clemens,Boston Red Sox
CCOPA-RS,Ryne Sandberg,Chicago Cubs
CCOPA-RY,Robin Yount,Milwaukee Brewers
CCOPA-SC,Steve Carlton,Philadelphia Phillies
CCOPA-SI,Shota Imanaga,Chicago Cubs
CCOPA-VG,Vladimir Guerrero Jr.,Toronto Blue Jays
CCOPA-WB,Wade Boggs,Boston Red Sox
CCOPA-WC,Will Clark,San Francisco Giants
CCOPA-YY,Yoshinobu Yamamoto,Los Angeles Dodgers
AA-AA,Adael Amador,Colorado Rockies
AA-AD,Adrian Del Castillo,Arizona Diamondbacks
AA-AM,Angel Martínez,Cleveland Guardians
AA-AT,Alan Trammell,Detroit Tigers
AA-BL,Brooks Lee,Minnesota Twins
AA-BR,Ben Rice,New York Yankees
AA-BS,Bryson Stott,Philadelphia Phillies
AA-CAM,Cam Smith,Houston Astros
