player,card_number,set_name,year,sport,team,category,insert_name,is_rookie
Aaron Judge,1,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Trea Turner,1,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Kyle Schwarber,2,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Cal Raleigh,2,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Kyle Schwarber,3,2026 Topps Heritage Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Cal Raleigh,3,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Oneil Cruz,4,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
José Caballero,4,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Freddy Peralta,5,2026 Topps Heritage Baseball,2026,Baseball,Milwaukee Brewers,Base,,False
Max Fried,5,2026 Topps Heritage Baseball,2026,Baseball,New York Yankees,Base,,False
Logan Webb,6,2026 Topps Heritage Baseball,2026,Baseball,San Francisco Giants,Base,,False
Garrett Crochet,6,2026 Topps Heritage Baseball,2026,Baseball,Boston Red Sox,Base,,False
Paul Skenes,7,2026 Topps Heritage Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Tarik Skubal,7,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Robert Suarez,8,2026 Topps Heritage Baseball,2026,Baseball,San Diego Padres,Base,,False
Carlos Estevéz,8,2026 Topps Heritage Baseball,2026,Baseball,Kansas City Royals,Base,,False
Cal Raleigh,231,2026 Topps Heritage Baseball,2026,Baseball,Seattle Mariners,Base,,False
Pete Alonso,232,2026 Topps Heritage Baseball,2026,Baseball,New York Mets,Base,,False
Elly De La Cruz,233,2026 Topps Heritage Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Riley Greene,234,2026 Topps Heritage Baseball,2026,Baseball,Detroit Tigers,Base,,False
Toronto Blue Jays,276,2026 Topps Heritage Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Los Angeles Dodgers,277,2026 Topps Heritage Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
