player,card_number,set_name,year,sport,team,category,insert_name,is_rookie
Aaron Judge,1,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Daulton Varsho,2,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Luke Keaschall,3,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Jonah Tong,4,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,True
Nico Hoerner,5,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Blaze Alexander,6,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Patrick Bailey,7,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Heliot Ramos,8,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Nick Pivetta,9,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Jacob Misiorowski,10,2026 Topps Series 1 Baseball,2026,Baseball,Milwaukee Brewers,Base,,True
Pete Alonso,11,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Kyle Schwarber,11,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Juan Soto,11,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Jordan Beck,12,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,False
Dylan Smith,13,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,True
MacKenzie Gore,14,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,False
Payton Tolle,15,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,True
Casey Mize,16,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Nick Castellanos,17,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Ryan Ritter,18,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,True
Dean Kremer,19,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Vladimir Guerrero Jr.,20,2026 Topps Series 1 Baseball,2026,Baseball,Toronto Blue Jays,Base,,False
Kyle Backhus,21,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
Clayton Kershaw,22,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Zach McKinstry,23,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Nathan Church,24,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Carson Williams,25,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Brendan Donovan,26,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Matt Shaw,27,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Elias Díaz,28,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Landen Roupp,29,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Sean Murphy,30,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Bailey Ober,31,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Shinnosuke Ogasawara,32,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,True
Xander Bogaerts,33,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
Kansas City Royals,34,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
C.J. Kayfus,35,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,True
Andry Lara,36,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,True
Jakob Marsee,37,2026 Topps Series 1 Baseball,2026,Baseball,Miami Marlins,Base,,True
Aaron Judge,38,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Junior Caminero,38,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Cal Raleigh,38,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Matt Olson,39,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Sonny Gray,40,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,False
Mookie Betts,41,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Bradgley Rodriguez,42,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,True
Nolan Schanuel,43,2026 Topps Series 1 Baseball,2026,Baseball,Angels,Base,,False
Shane Smith,44,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,False
Brandon Pfaadt,45,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Gunnar Henderson,46,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Arizona Diamondbacks,47,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Stephen Kolek,48,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Grant Taylor,49,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,True
Ronald Acuña Jr.,50,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Matthew Boyd,51,2026 Topps Series 1 Baseball,2026,Baseball,Chicago Cubs,Base,,False
Francisco Lindor,52,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Garrett Crochet,53,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Joe Ryan,54,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Warming Bernabel,55,2026 Topps Series 1 Baseball,2026,Baseball,Colorado Rockies,Base,,True
Lenyn Sosa,56,2026 Topps Series 1 Baseball,2026,Baseball,Chicago White Sox,Base,,False
Casey Schmitt,57,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Kris Bubic,58,2026 Topps Series 1 Baseball,2026,Baseball,Kansas City Royals,Base,,False
Daniel Schneemann,59,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,False
Rhett Lowder,60,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Kerry Carpenter,61,2026 Topps Series 1 Baseball,2026,Baseball,Detroit Tigers,Base,,False
Bryan Woo,62,2026 Topps Series 1 Baseball,2026,Baseball,Seattle Mariners,Base,,False
Jesús Luzardo,63,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Drew Rasmussen,64,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,False
Masataka Yoshida,65,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Roki Sasaki,66,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Parker Messick,67,2026 Topps Series 1 Baseball,2026,Baseball,Cleveland Guardians,Base,,True
Trevor Larnach,68,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Logan Webb,69,2026 Topps Series 1 Baseball,2026,Baseball,San Francisco Giants,Base,,False
Bob Seymour,70,2026 Topps Series 1 Baseball,2026,Baseball,Tampa Bay Rays,Base,,True
Gabriel Moreno,71,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Coby Mayo,72,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Jimmy Crooks,73,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Alex Freeland,74,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,True
Camilo Doval,75,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Jacob Lopez,76,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Spencer Horwitz,77,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Jonah Heim,78,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Spencer Strider,79,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Trevor Rogers,80,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Matt McLain,81,2026 Topps Series 1 Baseball,2026,Baseball,Cincinnati Reds,Base,,False
Carlos Rodón,82,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Jhoan Duran,83,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Shohei Ohtani,84,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Kyle Schwarber,84,2026 Topps Series 1 Baseball,2026,Baseball,Philadelphia Phillies,Base,,False
Juan Soto,84,2026 Topps Series 1 Baseball,2026,Baseball,New York Mets,Base,,False
Kody Clemens,85,2026 Topps Series 1 Baseball,2026,Baseball,Minnesota Twins,Base,,False
Dylan Crews,86,2026 Topps Series 1 Baseball,2026,Baseball,Washington Nationals,Base,,False
Jeffrey Springs,87,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
José Caballero,88,2026 Topps Series 1 Baseball,2026,Baseball,New York Yankees,Base,,False
Houston Astros,89,2026 Topps Series 1 Baseball,2026,Baseball,Houston Astros,Base,,False
Yoshinobu Yamamoto,90,2026 Topps Series 1 Baseball,2026,Baseball,Los Angeles Dodgers,Base,,False
Jurickson Profar,91,2026 Topps Series 1 Baseball,2026,Baseball,Atlanta Braves,Base,,False
Jackson Holliday,92,2026 Topps Series 1 Baseball,2026,Baseball,Baltimore Orioles,Base,,False
Pavin Smith,93,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,False
Yu Darvish,94,2026 Topps Series 1 Baseball,2026,Baseball,San Diego Padres,Base,,False
César Prieto,95,2026 Topps Series 1 Baseball,2026,Baseball,St. Louis Cardinals,Base,,True
Corey Seager,96,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Nick Kurtz,97,2026 Topps Series 1 Baseball,2026,Baseball,Athletics,Base,,False
Josh Jung,98,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Jacob deGrom,99,2026 Topps Series 1 Baseball,2026,Baseball,Texas Rangers,Base,,False
Paul Skenes,100,2026 Topps Series 1 Baseball,2026,Baseball,Pittsburgh Pirates,Base,,False
Ceddanne Rafaela,101,2026 Topps Series 1 Baseball,2026,Baseball,Boston Red Sox,Base,,False
Juan Burgos,102,2026 Topps Series 1 Baseball,2026,Baseball,Arizona Diamondbacks,Base,,True
