"name","address","city","state","country","zip","phone","lat","lng","region","types","hours","website","notes","google_place_id","source","verified","active"
"Games Galore and the Billiard Store","1506 2 Ave S; call (403) 320-6055","Lethbridge","AB","CA","","(403) 320-6055","","","","{Games}","","https://www.facebook.com/GamesGaloreLethbridge/","","","ddg_canada","false","true"
"LethbridgeBRZ e-Gift Cards","320 6th Street South","Lethbridge","AB","CA","","(587) 678-7226","","","","{TCG}","","https://www.anycard.com/store/lethbridge?ref=Naturistas","","","ddg_canada","false","true"
"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames -...","0123 or visit the website to schedule a service today. Conveniently located at 1271 3 Ave S","Lethbridge","AB","CA","","(403) 328-0123","","","","{Comics,Games,Collectibles}","","https://lethbridge.cdncompanies.com/book-store/showcase-comics-hobbies-ltd-comics-collectibles-rc-boardgame/","","","ddg_canada","false","true"
"Treasure Chest Games – Store in Lethbridge, AB","1506 2 Ave S; call (403) 320-6055","Lethbridge","AB","CA","","(403) 320-6055","","","","{Games}","","https://lethbridge.cdncompanies.com/store/treasure-chest-games-lethbridge/","","","ddg_canada","false","true"
"CompuSoft and The Game Store – Electronics store in Red Deer, ABThe Game Store","3070 or visit the website to schedule a service today. Conveniently located at 2067 50 Avenue","Red Deer","AB","CA","","(403) 357-3070","","","","{Games}","","https://red-deer.cdncompanies.com/electronics-store/compusoft-and-game-store-red-deer/","","","ddg_canada","false","true"
"EB Games Canada","","Red Deer","AB","CA","","4033095475","","","","{Games}","","https://ca.showmelocal.com/30379018-eb-games-canada-red-deer","","","ddg_canada","false","true"
"Holmestead Sports Cards & Collectibles Store","5560 45 St","Red Deer","AB","CA","","(403) 347-9211","","","","{Sports,TCG,Collectibles}","","https://www.facebook.com/HOLMESTEADSCC/","","","ddg_canada","false","true"
"SportsCards& Memorabilia StoresinRedDeer,AB-AlbertaLocal","","Red Deer","AB","CA","","(403) 347-9211","","","","{Sports,TCG,Collectibles}","","https://www.alberta-local.ca/l/red-deer-ab/sports-cards-memorabilia","","","ddg_canada","false","true"
"Metropolis Comics and Toys","10 for you in this post","Burnaby","BC","CA","","(604) 435-4551","","","","{Comics}","","https://www.facebook.com/MetropolisComicsAndToys/","","","ddg_canada","false","true"
"TazmanianComicConnection,BurnabyBC| Ourbis","","Burnaby","BC","CA","","604-298-6208","","","","{Comics}","","https://www.ourbis.ca/en/b/BC/Burnaby/Tazmanian-Comic-Connection/291321.html","","","ddg_canada","false","true"
"Sports Card Alley","2220 Bowen Road; call (250) 758-1484","Nanaimo","BC","CA","","(250) 758-1484","","","","{Sports,TCG}","","","","","ddg_canada","false","true"
"Sports Card Alley – Store in Nanaimo, BC","2220 Bowen Road; call (250) 758-1484","Nanaimo","BC","CA","","(250) 758-1484","","","","{Sports,TCG}","","https://nanaimo.cdncompanies.com/store/sports-card-alley-nanaimo/","","","ddg_canada","false","true"
"Comics Scene Collectibles","8912 152 Street; call (604) 582-2877","Surrey","BC","CA","","(604) 582-2877","","","","{Comics,Collectibles}","","https://surrey.cdncompanies.com/store/comics-scene-collectibles-surrey/","","","ddg_canada","false","true"
"AASportscards Hockey Cards Vancouver","","Vancouver","BC","CA","","604-726-1774","","","","{Sports,TCG}","","https://www.aasportscards.com/","","","ddg_canada","false","true"
"Godfather Comics Vancouver","","Vancouver","BC","CA","","604-309-7077","","","","{Comics}","","https://godfathercomics.com/","","","ddg_canada","false","true"
"Vesperia Manga & Comics","1935 West Broadway","Vancouver","BC","CA","","(236) 484-3597","","","","{Comics}","","https://vesperiacomics.com/","","","ddg_canada","false","true"
"Wally's Pro Sports Cards","8955 or visit us in store at 2646 E Hastings St","Vancouver","BC","CA","","(604) 255-8955","","","","{Sports,TCG}","","https://www.wallyscards.ca/","","","ddg_canada","false","true"
"Game Suppliers in Victoria, BC","","Victoria","BC","CA","","(778) 432-4263","","","","{Games}","","https://www.vilocal.ca/l/victoria-bc/games-game-supplies","","","ddg_canada","false","true"
"The Comic Hunter","183 Queen St","Charlottetown","CA","US","","902-566-2926","","","","{Comics}","","https://www.hobbynext.ca/stores/the-comic-hunter-charlottetown/","","","ddg_canada","false","true"
"PSA Dealer: Trading Card Warehouse Inc.","","Moncton","CA","US","","506-889-7452","","","","{TCG}","","https://www.psacard.com/dealers/detail/trading-card-warehouse-inc/5610","","","ddg_canada","false","true"
"Cardboard Hero","90 Simcoe St N","Oshawa","CA","US","","(905)579-7678","","","","{TCG}","","https://www.hobbynext.ca/stores/cardboard-hero/","","","ddg_canada","false","true"
