"name","address","city","state","country","zip","phone","lat","lng","region","types","hours","website","notes","google_place_id","source","verified","active"
"Cookeville Antique Mall","","Cookeville","ON","CA","","(931)651-1256","","","","{Cards}","","http://www.cookevilleantiquemall.com/","","","ddg_pass2","false","true"
"Contact","","Dayton","ON","CA","","937-436-6161","","","","{Cards}","","https://thehobbyshoponline.com/contact/","","","ddg_pass2","false","true"
"Blue Ox Games, LLC","2713 East 10th St","Greenville","ON","CA","","(252) 695-6442","","","","{Games}","","https://business.greenvillenc.org/list/member/blue-ox-games-llc-9363","","","ddg_pass2","false","true"
"Laughing Crow Collectibles (@laughingcrowcollectibles ...","","Modesto","ON","CA","","209-567-2119","","","","{Collectibles}","","https://www.instagram.com/laughingcrowcollectibles/","","","ddg_pass2","false","true"
"Contact Dandy Deals 2nd HandStoreTopekaKS| 785-250-4676","","Topeka","ON","CA","","785-250-4676","","","","{Cards}","","https://www.dandydealstopeka.com/contact","","","ddg_pass2","false","true"
"A #1 Cards, Comics and Collectables","3101 Penland Parkway","Anchorage","AK","US","","907-333-3388","","","","{Comics,TCG}","","https://www.sportscard-stores.com/store/189/anchorage/1-cards-comics-and-collectables","","","ddg_pass2","false","true"
"The G.O.A.T. Collectibles & Antiques","","Birmingham","AL","US","","659-268-8785","","","","{Collectibles}","","https://www.lgsfinder.org/alabama/birmingham/the-goat-collectibles-antiques-birmingham","","","ddg_pass2","false","true"
"Vermont","12 Elliot St Brattleboro","Burlington","AL","US","","802-254-6201","","","","{Cards}","","http://www.hobbyshopguideusa.com/vermonthobbyshops.htm","","","ddg_pass2","false","true"
"Jags Corner Trading Cards & Sports Memorabilia","","Mobile","AL","US","","251-295-4773","","","","{Sports,TCG,Collectibles}","","https://www.lgsfinder.org/alabama/mobile/jags-corner-trading-cards-sports-memorabilia-mobile","","","ddg_pass2","false","true"
"M and R Ball Cards","1010 Schillinger Rd","Mobile","AL","US","","251-639-4550","","","","{TCG}","","https://www.sportscard-stores.com/store/841/mobile/m-and-r-ball-cards","","","ddg_pass2","false","true"
"UDLR TCG & Gaming","","Mobile","AL","US","","(251) 252-5762","","","","{TCG}","","https://www.boisebreaks.com/shops/alabama/mobile/udlr-tcg-gaming-mobile-al/","","","ddg_pass2","false","true"
"Tennessee","340 Ivy Rd Oakland","Oak Ridge","AL","US","","865-483-8887","","","","{Cards}","","http://hobbyshopguideusa.com/tennesseehobbyshops.htm","","","ddg_pass2","false","true"
"Al's Comic Shop","1847 Pacific Ave","Stockton","AL","US","","209-464-1513","","","","{Comics}","","https://www.sportscard-stores.com/store/207/stockton/als-comic-shop","","","ddg_pass2","false","true"
"One Up TCG","","Tuscaloosa","AL","US","","205-248-2173","","","","{TCG}","","https://www.lgsfinder.org/alabama/tuscaloosa/one-up-tcg-tuscaloosa","","","ddg_pass2","false","true"
"FOW","3306 Shelby Drive Unit D","Jonesboro","AR","US","","870-520-6481","","","","{Cards}","","https://fowtcg.com/stores/75","","","ddg_pass2","false","true"
