"name","address","city","state","country","zip","phone","lat","lng","region","types","hours","website","notes","google_place_id","source","verified","active"
"Delaware Sports Card Stores","3935 Milford","Newark","BC","CA","","302-834-8750","","","","{Sports,TCG}","","https://www.sportscard-stores.com/directory/Delaware","","","ddg_targeted","false","true"
"D&M Sports – DM Sports","34 PLAZA BLVD MONCTON","Halifax","NB","CA","","(506) 852-3244","","","","{Sports}","","https://www.dmsportscards.com/","","","ddg_targeted","false","true"
"Replay Sports Cards","115 East Park Ave View on Google MapsCharlotte","Charlotte","ON","CA","","704-746-3996","","","","{Sports,TCG}","","https://southendclt.org/go/replay-sports-cards","","","ddg_targeted","false","true"
"Ryan Kennedy (@arcsportcards) • Instagram photos and videos","","Concord","ON","CA","","603-856-7325","","","","{Sports,TCG}","","https://www.instagram.com/arcsportcards/","","","ddg_targeted","false","true"
"Elite Cardboard Gaming","","Durham","ON","CA","","(919) 430-0837","","","","{TCG}","","https://www.discoverdurham.com/directory/elite-cardboard-gaming/","","","ddg_targeted","false","true"
"Custom StationeryCards& Sets","","Laramie","ON","CA","","(307) 742-2223","","","","{TCG}","","https://locations.theupsstore.com/wy/laramie/514-grand-ave/stationery-&-cards","","","ddg_targeted","false","true"
"Mulligans Trading Cards & Collectibles (@mulliganstcg) • Instagram ...","8227 Hull Street Road","Richmond","ON","CA","","(804) 973-9050","","","","{TCG,Collectibles}","","https://www.instagram.com/mulliganstcg/","","","ddg_targeted","false","true"
"Tampa Card Shop (@tampacardshop) • Instagram photos and videos","15939 N. Florida Ave","Tampa","ON","CA","","813-374-4534","","","","{TCG}","","https://www.instagram.com/tampacardshop/","","","ddg_targeted","false","true"
"PSA Dealer: Morningside LLC dba Sports Shop","","Naperville","PE","CA","","(815) 441-9570","","","","{Sports}","","https://www.psacard.com/dealers/detail/morningside-llc-dba-sports-shop/3477","","","ddg_targeted","false","true"
"Base: Orruk Flesh (12ML) 21-56","","Anchorage","AK","US","","907-929-7878","","","","{Cards}","","https://www.tier1cardsandgames.com/catalog/games_workshop-citadel_paints__pos/base_orruk_flesh_12ml_2156/344218","","","ddg_targeted","false","true"
