"name","address","city","state","country","zip","phone","lat","lng","region","types","hours","website","notes","google_place_id","source","verified","active"
"Adventureverse Games","5214 51 Street, Suite 3","Lloydminster","AB","CA","","+1-780-214-3900","53.2846637","-110.012196","","{Games}","Mo-Tu 15:30-21:00; We closed; Th-Fr 15:30-21:00; Sa 11:00-21:00; Su closed","http://www.adventureversegames.ca/","OSM node/8565645840 | enriched:yes","","osm","false","true"
"Babs Gaming & Sports Cards","5720 Ray Nelson Drive","Lloydminster","AB","CA","T9V 0B6","+1-780-874-4701","53.2784612","-110.0280404","","{Sports}","Mo-Sa 10:00-21:00; Su 10:00-18:00","https://babsgaming.ca/","OSM node/11863128415 | email: info@babsgaming.ca, hi@mystore.com | enriched:yes","","osm","false","true"
"Border City Games","5601 31 Street, Suite 5","Lloydminster","AB","CA","T9V 2H3","+1-780-808-5650","53.2666011","-110.0220516","","{Games}","Mo-Fr 12:00-22:00; Sa 11:00-21:00; Su 12:00-17:00","https://bordercitygames.ca/","OSM node/5254772121 | email: bordercitygames@gmail.com | facebook: https://www.facebook.com/Bordercitygames | instagram: https://www.instagram.com/bordercitygames | enriched:yes","","osm","false","true"
"CompuSoft and The Game Store – Electronics store in Red Deer, ABThe Game Store","3070 or visit the website to schedule a service today. Conveniently located at 2067 50 Avenue","Red Deer","AB","CA","","(403) 357-3070","","","","{Games}","","https://red-deer.cdncompanies.com/electronics-store/compusoft-and-game-store-red-deer/","enriched:yes","","ddg_canada","false","true"
"EB Games Canada","","Red Deer","AB","CA","","4033095475","","","","{Games}","","https://ca.showmelocal.com/30379018-eb-games-canada-red-deer","enriched:yes","","ddg_canada","false","true"
"Games Galore and the Billiard Store","1506 2 Ave S; call (403) 320-6055","Lethbridge","AB","CA","","(403) 320-6055","","","","{Games}","","https://www.facebook.com/GamesGaloreLethbridge/","email: gamesgalore_lethbridge@hotmail.com | facebook: https://www.facebook.com/GamesGaloreLethbridge | enriched:yes","","ddg_canada","false","true"
"Holmestead Sports Cards & Collectibles Store","5560 45 St","Red Deer","AB","CA","","(403) 347-9211","","","","{Sports,TCG,Collectibles}","","https://www.facebook.com/HOLMESTEADSCC/","email: holmesteadstore@gmail.com | facebook: https://www.facebook.com/HOLMESTEADSCC | enriched:yes","","ddg_canada","false","true"
"LethbridgeBRZ e-Gift Cards","320 6th Street South","Lethbridge","AB","CA","","(587) 678-7226","","","","{TCG}","","https://www.anycard.com/store/lethbridge?ref=Naturistas","enriched:yes","","ddg_canada","false","true"
"Pirates Cove Collectibles","1011 Mayor Magrath Drive S","Lethbridge","AB","CA","","+1-403-942-1515","49.682809","-112.8042358","","{Comics}","Mo-We, Sa 09:30-17:00; Th, Fr 09:30-17:30; Su 10:00-16:00","https://www.kijiji.ca/b-art-collectibles/lethbridge/comics/k0c12l1700230","OSM node/8581096261 | facebook: https://www.facebook.com/Kijiji.ca | instagram: https://www.instagram.com/kijijicanada | enriched:yes","","osm","false","true"
"Showcase Comics & Hobbies Ltd., Comics, Collectibles, RC, Boardgames -...","0123 or visit the website to schedule a service today. Conveniently located at 1271 3 Ave S","Lethbridge","AB","CA","","(403) 328-0123","","","","{Comics,Games,Collectibles}","","https://lethbridge.cdncompanies.com/book-store/showcase-comics-hobbies-ltd-comics-collectibles-rc-boardgame/","enriched:yes","","ddg_canada","false","true"
"SportsCards& Memorabilia StoresinRedDeer,AB-AlbertaLocal","","Red Deer","AB","CA","","(403) 347-9211","","","","{Sports,TCG,Collectibles}","","https://www.alberta-local.ca/l/red-deer-ab/sports-cards-memorabilia","facebook: https://www.facebook.com/pages | enriched:yes","","ddg_canada","false","true"
"Treasure Chest Games – Store in Lethbridge, AB","1506 2 Ave S; call (403) 320-6055","Lethbridge","AB","CA","","(403) 320-6055","","","","{Games}","","https://lethbridge.cdncompanies.com/store/treasure-chest-games-lethbridge/","enriched:yes","","ddg_canada","false","true"
"AASportscards Hockey Cards Vancouver","","Vancouver","BC","CA","","604-726-1774","","","","{Sports,TCG}","","https://www.aasportscards.com/","email: info@aasportscards.com, mchark@shaw.ca | facebook: https://www.facebook.com/aasportscards | instagram: https://instagram.com/aasportscards | enriched:yes","","ddg_canada","false","true"
"All Aboard Games","238 Lansdowne Street","Kamloops","BC","CA","V2C 6J3","+1-250-377-0745","50.676844","-120.3354542","","{Games}","Mo-Sa 10:00-18:00; Su 11:00-17:30","https://allaboardgames.com/","OSM node/7945569103 | enriched:yes","","osm","false","true"
