"name","address","city","state","country","zip","phone","email","facebook_url","instagram_url","website","x_url","discord","ebay_url","tcgplayer_url","types","hours","lat","lng","source","notes"
"Games Galore and the Billiard Store","1506 2 Ave S; call (403) 320-6055","Lethbridge","AB","CA","","(403) 320-6055","gamesgalore_lethbridge@hotmail.com","https://www.facebook.com/GamesGaloreLethbridge","","https://www.facebook.com/GamesGaloreLethbridge/","","","","","Games","","","","ddg_canada",""
"Adventureverse Games","5214 51 Street, Suite 3","Lloydminster","AB","CA","","+1-780-214-3900","","","","http://www.adventureversegames.ca/","","","","","Games","Mo-Tu 15:30-21:00; We closed; Th-Fr 15:30-21:00; Sa 11:00-21:00; Su closed","53.2846637","-110.012196","osm","OSM node/8565645840"
"Babs Gaming & Sports Cards","5720 Ray Nelson Drive","Lloydminster","AB","CA","T9V 0B6","+1-780-874-4701","info@babsgaming.ca; hi@mystore.com","","","https://babsgaming.ca/","","","","","Sports","Mo-Sa 10:00-21:00; Su 10:00-18:00","53.2784612","-110.0280404","osm","OSM node/11863128415"
"Border City Games","5601 31 Street, Suite 5","Lloydminster","AB","CA","T9V 2H3","+1-780-808-5650","bordercitygames@gmail.com","https://www.facebook.com/Bordercitygames","https://www.instagram.com/bordercitygames","https://bordercitygames.ca/","","","","","Games","Mo-Fr 12:00-22:00; Sa 11:00-21:00; Su 12:00-17:00","53.2666011","-110.0220516","osm","OSM node/5254772121"
"Holmestead Sports Cards & Collectibles Store","5560 45 St","Red Deer","AB","CA","","(403) 347-9211","holmesteadstore@gmail.com","https://www.facebook.com/HOLMESTEADSCC","","https://www.facebook.com/HOLMESTEADSCC/","","","","","Sports,TCG,Collectibles","","","","ddg_canada",""
"Captured! Cards","4991 Imperial Street","Burnaby","BC","CA","","+1-778-881-0076","","","","https://capturedcards.com/","","","","","Pokemon,TCG","Mo-We 12:00-19:00; Th off; Fr 12:00-19:30; Sa 12:00-19:00; Su 12:00-18:00; PH off","49.222127","-122.9935792","osm","OSM node/13335382688"
"Metropolis Comics and Toys","10 for you in this post","Burnaby","BC","CA","","(604) 435-4551","info@metropolis-comics.com","https://www.facebook.com/MetropolisComicsAndToys","","https://www.facebook.com/MetropolisComicsAndToys/","","","","","Comics","","","","ddg_canada",""
"Sentry Box Cards","1835B 10 Avenue SW","Calgary","BC","CA","","+1-403-457-9412","service@sentryboxcards.com","https://facebook.com/sentryboxcards","https://instagram.com/sentryboxcards","https://www.sentryboxcards.com/","","","","","Pokemon,MTG,Yu-Gi-Oh,TCG","Mo-Tu 11:00-20:00; We 11:00-21:00; Th-Fr 11:00-22:00; Sa 10:00-20:00; Su 11:00-18:00","51.0443412","-114.1034881","osm","OSM node/13335393488"
"The Sentry Box","1835 10 Avenue SW","Calgary","BC","CA","T3C 0K2","+1-403-245-2121","orders@sentrybox.com","https://www.facebook.com/plugins","https://www.instagram.com/sentrybox","https://www.sentrybox.com/","","","","","Hobby","Mo-Fr 11:00-22:30; Sa 10:00-22:30; Su 11:00-18:00","51.044139","-114.1036729","osm","OSM node/4889682696"
"All Aboard Games","238 Lansdowne Street","Kamloops","BC","CA","V2C 6J3","+1-250-377-0745","","","","https://allaboardgames.com/","","","","","Games","Mo-Sa 10:00-18:00; Su 11:00-17:30","50.676844","-120.3354542","osm","OSM node/7945569103"
