shop_name,address,country,website,phone
"A & J SPORTS CARDS, LLC","1478 W 6TH AVENUE, EUGENE, OR 97402, USA, ajsportseugene.com",USA,,(541) 343-5561
A & N COLLECTIBLES,"105 W ARROW HWY STE 7, SAN DIMAS, CA 91773, USA",USA,,(909) 394-2375
"A WORLD OF COLLECTIONS GAMES, COMICS & CARDS","22611 76TH AVE W SUITE 101, EDMONDS, WA 98026, USA",USA,www.worldofcollections.com,(425) 778-2678
A&S SPORTS,"825 CARMAN AVE. WESTBURY, NEW YORK 11590, WESTBURY, NY 11590, USA",USA,https://www.facebook.com/profile.php?id=100063656059921,(516) 414-4323
AA CARDS & COLLECTIBLES,"2911 S WASHINGTON ST, KOKOMO, IN 46902, USA",USA,,(765) 459-7993
AA MINT CARDS,"3800 N UNIVERSITY DR, COOPER CITY, FL 33024, USA, aamintcards.com",USA,,(954) 510-9600
AAA COLLECTIBLES,"100-F WEST JOHN STREET, MATTHEWS, NC 28105, USA, AAACollectibles.com",USA,,(704) 847-5901
AAN COLLECT,"40 KELLOG ROAD, STE 72B, NEW HARTFORD, NY 13318, USA",USA,Www.aancollect.com,(315) 941-2145
ABSOLUTE SPORTS CARDS,"4823 W 123RD ST, SAVAGE, MN 55378, USA, ABSOLUTESPORTSCARDS.COM",USA,,(952) 855-4005
ACE SPORTS & TRADING CARDS,"573 E 8TH ST, HOLLAND, MI 49423, USA",USA,www.acesportscards.com,(616) 298-7780
ACTION VIDEO & SPORTS CARDS,"302 PARKVILLE STATION RD., MANTUA, NJ 08051, USA, actionbuyselltrade.com",USA,,(856) 464-1535
AJ COLLECTABLES,"4631 S. 108TH STREET, GREENFIELD, WI 53228, USA",USA,www.ajcollectable.com,(800) 781-2030
AJ'S SPORTS CARDS,"3348 DRUSILLA LANE, BATON ROUGE, LA 70809, USA",USA,HTTPS://AJS-SPORTS-CARDS-LLC.SQUARE.SITE,(225) 831-4508
AJTK SPORTSCARDS,"98-020 KAMEHAMEHA HIGHWAY, #114A, AIEA, HI 96701, USA",USA,,(808) 487-6620
"ALBATROSS, LLC","8166 MONTICELLO TERRACE, hi, KS 66227, USA, Alessandro Libreria, Vai del borgo di San pietro 140, Bologna , 40126",USA,www.kcalbatross.com | https://www.fumetto-online.it/it/,(816) 541-3814
ALEX'S MVP CARDS AND COMICS,"1590 YORK AVENUE, NEW YORK, NY 10128, USA, Alexsmvp.com",USA,,(212) 831-2273
ALL STAR CARDS,"8781 CUYAMACA ST STE S, SANTEE, CA 92071, USA",USA,,(619) 562-1975
ALL STAR CARDS & COLLECTIBLES,"4290 S. UNIVERSITY DR., DAVIE, FL 33328, USA",USA,,(954) 577-0247
ALL STAR SPORTS,"5316 CLYDE PARK AVE SW STE H, WYOMING, MI 49509, USA",USA,www.allstarsportsgr.com,(616) 247-1330
ALL STAR SPORTS CARDS,"7550 EAST BRAINER ROAD, CHATTANOOGA, TN 37421, USA, allstarcasebreaks.com",USA,,(423) 894-3087
ALL-PRO SPORTSCARDS LLC,"492 GRAHAM RD., CUYAHOGA FALLS, OH 44221, USA, allprosports.cards",USA,,(330) 922-4642
Aloha Card Shop,"9620 LAS VEGAS BLVD STE N9, LAS VEGAS, NV 89123, USA",USA,,(702) 627-3149
AMAYA BROS COMICS,"97 SIXTH STREET, CAMBRIDGE, MA 02141, USA",USA,www.amayabroscomics.com,(617) 714-4108
AMERICAN LEGENDS,"1107 CENTRAL PARK AVENUE, SCARSDALE, NY 10583, USA, American Sportstore, Nieuwendijk 111D, Amsterdam, 1012MD",USA,https://www.amerlegends.com/ | https://american-sportstore.com/,(914) 725-2225
AV SPORTS CARDS,"1873 POST RD, FAIRFIELD, CT 06824, USA",USA,www.avsportscards.com,(203) 292-6955
AZ SPORTS CARDS,"10045 WEST CAMELBACK ROAD #104, PHOENIX, AZ 85037, USA",USA,https://azsportscards2.mysimplestore.com/,(623) 742-9100
B&B CARDS AND COLLECTIBLES,"4239 HOLLAND ROAD SUITE 792, VIRGINIA BEACH, VIRGINIA 23452, USA",USA,https://virginiabeachcardshop.com,(757) 495-5523
B&B SPORTS CARDS,"22235 LORAIN ROAD, FAIRVIEW PARK, OH 44126, USA",USA,,(440) 777-5234
BACK IN THE GAME SPORTS CARDS,"807 N MILDRED ST STE 6, RANSON, WV 25438, USA, Facebook.com/ransoncards",USA,,(304) 930-1253
BADGER SPORTS SHOP,"336 2ND AVENUE SOUTH, ONALASKA, WI 54650, USA, badgerbreaks.com",USA,,(608) 615-1515
BANKER BILLS COLLECTABLES,"435 AMWELL RD, HILLSBOROUGH, NJ 08844, USA",USA,https://www.facebook.com/Bankerbillssportscards,(908) 874-0300
BANKSTON'S COMICS & SPORTSCARDS,"1321 S. VALLEY MILLS DR, WACO, TX 76711, USA, Barão Geek House",USA,www.bankstons.com,(254) 755-0070
BASEBALL & GAMES,"16727 BEAR VALLEY RD, STE 130, HESPERIA, CA 92345, USA, baseballandgames.com",USA,,(760) 949-1845
BASEBALL CARD CASTLE INC,"CRANBERRY TWP, PA 16066, USA, baseballcardcastle.net",USA,,(724) 772-0490
BASEBALL CARD CITY,"2248 W.GLEN AVE., PEORIA, IL 61614, USA",USA,,(309) 691-7109
BASEBALL CARD CLUBHOUSE,"2225 SOUTH DALE MABRY HWY, TAMPA, FL 33629, USA",USA,https://baseballcardclubhouse.business.site/,(813) 259-0111
BASEBALL CARD CONNECTION,"313 WEST JEFFERSON AVENUE, EFFINGHAM, IL 62401, USA, BaseballCardConnection.com",USA,,(217) 342-2539
"BASEBALL CARD EXCHANGE, INC.","709B US HIGHWAY 41, SCHERERVILLE, IN 46375, USA",USA,www.bbcexchange.com,219-319-0197
BASEBALL CARD OUTLET,"7502 EASTERN AVE, BALTIMORE, MD 21224, USA",USA,www.bbcoutlet.com,(410) 284-7922
BASEBALL CARDS PLUS,"6401 EDINGER AVE, HUNTINGTON BEACH, CA 92647, USA",USA,WWW.SURFCITYCARDS.COM,(714) 898-5648
BASEBALL CARDS SHOWCASE,"1918 WANTAGH AVE, WANTAGH, NY 11793, USA, Dangelosports.com",USA,,(516) 679-8331
BASEBALL PLUS,"346 MID RIVERS MALL DR, SAINT PETERS, MO 63376, USA, baseball-plus-1359.myshopify.com",USA,,(636) 970-7088
BASELINE SPORTS CARDS,"1698 W WISE ROAD, SCHAUMBURG, IL 60193, USA",USA,www.baseline.cards,(224) 520-8507
BASES LOADED SPORTS COLLECTIBLES,"2350 UNION ROAD, WEST SENECA, NY 14224, USA, basesny.com",USA,,(716) 308-3490
BEAST SPORTS CARDS,"8612 PRESTON RD, SUITE 114, PLANO, TX 75024, USA",USA,www.beastcards.com,(972) 987-5550
BEL AIR SPORTS CARDS,"1401 CONOWINGO RD UNIT C, BEL AIR, MD 21014, USA",USA,www.belairsportscards.com,(443) 567-5318
BEN'S CARD WORLD,"4771 BAYOU BLVD SUITE #6, PENSACOLA, FL 32503, USA",USA,www.benscardworld.com,(850) 912-8922
BERGEN COUNTY SPORTS CARDS (D/B/A),"65 WEST MAIN STREET, BERGENFIELD, NJ 07621, USA, bergencountysportscards.com",USA,,(201) 384-1585
BERGIE'S SPORTS CARD DUGOUT INC,"474 CENTRAL AVE SUIT 1, HIGHLAND PARK, IL 60035, USA",USA,https://www.facebook.com/bergiesports,(847) 433-2250
BEST CARD SHOP,"2030 STAFFORD ROAD, PLAINFIELD, IN 46168, USA",USA,WWW.BESTCARDSHOPINDY.COM,(317) 203-5578
BEST OF THE BEST IN SPORTSCARDS,"98-1268 KA’AHUMANU STREET #104, PEARL CITY, HAWAII 96782, USA",USA,,(808) 486-7874
BEST VARIETY SPORTS CARDS,"358 WEST FOOTHILL BLVD, GLENDORA, CA 91741, USA, Big Cards Hobby Store",USA,http://bestvarietycoinerrors.com,(626) 595-0608
BIG HIT SPORTS CARDS,"6450 US Hwy 90 Ste H, Spanish Fort, AL 36526, USA",USA,www.bighitsportscards.com,(251) 626-5050
BIG LEAGUE CARDS,"920 STATE ROAD 436, CASSELBERRY, FL 32707, USA",USA,www.BigLeagueCards.com,(407) 834-2273
BIG NATES TRADING CARDS,"3019 JUDSON ST SUITE E, GIG HARBOR, WA 98335, USA, facebook.com/bignatestradingcards",USA,,(530) 209-1249
"BILL'S SPORTS, LLC","2335 S. BROADWAY, DENVER, CO 80210, USA, billssportscollectibles.com",USA,,(303) 733-4878
BLEECKER TRADING,"96 CHRISTOPHER ST FRNT A, NEW YORK, NY 10014, USA, BLEECKERTRADING.COM",USA,,(646) 791-5036
BLUE BREAKS SPORTS & HOBBY CARD STORE,"1213 US HWY 41 BYP S, VENICE, FL 34285, USA",USA,www.bluebreaks.com,(941) 837-2429
BLUFF CITY MEMORABILIA,"5915 GETWELL RD, SOUTHAVEN, MS 38672, USA, bluffcitymemorabilia.com",USA,,(662) 655-5162
BOB BECK SPORTS COLLECTIBLES,"48 EAST NORTHFIELD ROAD, LIVINGSTON, NJ 07039, USA",USA,www.bobbecksports.com,(973) 992-8663
BOB'S SPORTS CARDS & MEMORABILIA,"4138 ROUTE 9 SOUTH, HOWELL, NJ 07731, USA, bobssportscards.com",USA,,(732) 942-0050
BOCA SPORTS CARDS,"9825 MARINA BLVD #400, BOCA RATON, FL 33428, USA, bocabreaks.com",USA,,(561) 617-1533
BOOMTOWN SPORTS CARDS & COLLECTIBLES,"10350 BANDERA RD, SAN ANTONIO, TX 78250, USA",USA,,(210) 264-0543
BOSCO'S,"2301 SPENARD ROAD, ANCHORAGE, AK 99503, USA, BOSCO'S 2, BOSCO'S/SUITE 3-119/800 DIMOND BLVD, ANCHORAGE, AK 99515, USA",USA,www.boscos.com,(907) 274-4112 | 907-349-3963
BOXSEAT COLLECTIBLES,"4855 E WARNER RD, SUITE A-18, PHOENIX, AZ 85048, USA, BOXSEATCOLLECTIBLES.COM",USA,,(480) 598-0967
"BP SPORTS CARDS AND MEMORABILIA, INC.","133 N. MAIN ST, UNIT 4, FLORIDA, NY 10921, USA",USA,www.bpsportscards.com,(845) 651-1660
BREW TOWN TRADING CO,"4285 S 76TH ST, GREENFIELD, WI 53220, USA, BREWTOWNTRADING.COM",USA,,(414) 604-1945
BRICKS AND IVY SPORTS,"207 E. MAIN ST., HOOPESTON, IL 60942, USA, bricksandivysports.com",USA,,(217) 283-2250
BRIDGEPORT HOBBY,"751 W 35TH ST, CHICAGO, IL 60608, USA, Bridgeporthobby.com",USA,,(312) 624-8369
BT COLLECTIBLES LLC,"1025 ROSE CREEK DRIVE SUITE 220, WOODSTOCK, GA 30189, USA, btcollectiblesstore.com",USA,,(404) 545-3099
BURBANK SPORTSCARDS LLC,"1610 W BURBANK BLVD, BURBANK, CA 91506, USA, burbankcards.com",USA,,(818) 843-2605
CAJUN BREAKER SPORTS CARDS & COLLECTIBLES,"1001 SAVOY ROAD, YOUNGSVILLE, LA 70592, USA",USA,,
CAJUN CARDBOARD & COLLECTIBLES,"40235 HWY 42, SUITE D, PRAIRIEVILLE, LA 70769, USA",USA,,
CALICARDS & MORE,"1835 ASHLAN AVE, STE. 104, CLOVIS, CA 93611, USA",USA,www.calicardsandmore.com,(559) 478-5819
CARD CAVE CENTRAL,"2464 MORRIS AVE, UNION, NJ 07083, USA",USA,Www.cardcavecentral.com,(908) 206-6994
CARD COLLECTING MAIA,"111 S 4TH STREET, HAMBURG, PA 19555, USA, Cardcollectingmania.com, Card Collective, Mikkel Bryggersgade 2, Copenhagen, 1460",USA,https://cardcollective.eu/,(610) 568-6665
CARD EXCHANGE,"14020 AURORA AVE N, SEATTLE, WA 98133, USA, cardexchangesports.com",USA,,(206) 440-5467
CARD KINGS SPORTS CARDS & MEMORABILIA,"6458 N. ORACLE RD, TUCSON, AZ 85704, USA, Cardkingbreaks.com",USA,,(520) 395-0077
CARD POP USA,"1114 W JEFFERSON ST, JOLIET, IL 60435, USA, CARDPOPUSA.COM",USA,,(779) 707-5872
CARD SHACK,"9 ATLANTIC AVE, LYNBROOK, NY 11563, USA",USA,www.thecardshack.com,(516) 561-5100
CARD STADIUM,"3715 WALNUT ST, HARRISBURG, PA 17109, USA",USA,https://www.facebook.com/profile.php?id=100063648274676,(717) 234-0655
CARD STOCKS,"4875 PRINCETON RD, LIBERTY TOWNSHIP, OH 45011, USA, CardStocks.com",USA,,(513) 581-3131
CARD STOCKS,"9723 KENWOOD RD, BLUE ASH, OH 45242, USA",USA,,(513) 379-1934
CARDBOARD LEGACY,"923 OREGON STREET, OSHKOSH, WI 54902, USA",USA,WWW.CARDBOARDLEGACY.COM,(920) 744-9297
"CARDBOARD LEGENDS, LLC","17218 SATICOY STREET, CA, CA 91406, USA, cardboardlegendsonline.com",USA,,(818) 342-8948
CARDBOARD VAULT,"121 CENTRAL AVE N, FARIBAULT, MN 55021, USA",USA,www.cardboardvault.cards,(507) 323-8214
CARDCOLLECTOR2 SPORTS CARDS,"3455 GROVE CITY ROAD, GROVE CITY, OH 43123, GROVE CITY, OHIO 43123, USA",USA,www.cardcollector2.com,(614) 991-0352
CARDIACS OF KANNAPOLIS LLC,"133 West Ave, KANNAPOLIS, NC 28081, USA",USA,www.TheCARDIACS.com,(704) 935-3489
CARDIACS SPORTS & MEMORABILIA,"1101 MARCO DRIVE STE 100, APEX, NC 27502, USA, TheCARDIACS.com",USA,,(919) 463-5685
CARDS AND COFFEE,"6363 HOLLYWWOD BOULEVARD, LOS ANGELES, CA 90028, USA",USA,www.TheCoffeeBreakers.com,(213) 713-5973
CARDS AND CULTURE,"10155 PERKINS ROWE STE. 160, BATON ROUGE, LA 70810, USA, cardsandculture.com",USA,,(225) 256-6140
CARDS AT THE CAGES,"3917 W GATE CITY BLVD, GREENSBORO, NC 27407, USA, shop.cardsatthecages.com",USA,,(336) 851-0506
CARDS HQ,"3101 COBB PKWY SE SUITE 100, ATLANTA, GA 30339, USA, CARDSHQ.COM, Cards Hub",USA,,(678)741-7618
CARDS IN A BOX,"3625 THE STAR BLVD, FRISCO, TX 75034, USA, CARDSINABOXLLC.COM",USA,,(972) 597-4497
CARDS N HOBBY,"11633 SW BEAVERTON HILLSDALE HWY, BEAVERTON, OR 97005, USA",USA,WWW.CARDSNHOBBYPDX.COM,(503) 747-6914
CARDSINFINITY,"279 MACDOUGALL DRIVE, WEST END, NC 27376, USA",USA,https://cardsinfinity.com/,(910) 466-9091
CARDSMITHS SPORT CARDS,"5701 LONETREE BLVD, SUITE 201, ROCKLIN, CA 95765, USA, Cardtutor comercio de brinquedos Ltda",USA,https://cardsmithsbreaks.com/cardsmithssportscards/,(916) 259-4488
CB HOBBY,"200 E 2ND STREET SUITE C, KAUKAUNA, WI 54130, USA, cbhobby.com",USA,,(920) 462-4178
CENTURY JEWELERS & LOAN,"1700 MADISON AVENUE # 530, LAKEWOOD, NJ 08701, USA, Centuryfastcash.net",USA,,(732) 901-2282
CHALFONT SPORTS CONNECTION,"414 TOWN CENTER, NEW BRITAIN, PA 18901, USA",USA,www.sportsconnectionpa.com,(267) 247-5936
CHAMPION CARD COLLECTOR,"43 VASSAR RD STE A1, POUGHKEEPSIE, NY 12603, USA",USA,www.championcardcollector.com,(845) 462-9292
CHAMPION CITY VIDEO GAMES,"1055 N BECHTLE AVE, SPRINGFIELD, OH 45504, USA",USA,https://www.championcitygames.com/,(937) 505-1121
CHAMPION SPORTSCARDS & COLLECTIBLES,"700 SANDY PLAINS RD. SUITE B6, MARIETTA, GA 30066, USA, championsportscards.com",USA,,(770) 427-2220
CHARLOTTE SPORTS COLLECTIBLES,"5341 BALLANTYNE COMMONS PKWY. STE. 550, CHARLOTTE, NC 28277, USA, CharlotteSportsCollectibles.com",USA,,(980) 339-8045
CHICAGOLAND SPORTS CARDS & MEMORABILIA,"793 SOUTH BUFFALO GROVE ROAD, BUFFALO GROVE, IL 60089, USA",USA,www.chicagolandsportscards.com,(847) 229-2626
CHUCK'S SPORTS OF LOUISIANA,"28550 LA HIGHWAY 43, ALBANY, LA 70711, USA",USA,,(225) 567-9200
