
Number	Player Name	Team
1	Andy Pafko	Brooklyn Dodgers
2	Pete Runnels	Washington Senators
3	Hank Thompson	New York Giants
4	Don Lenhardt	Boston Red Sox
5	Larry Jansen	New York Giants
6	Grady Hatton	Cincinnati Reds
7	Wayne Terwilliger	Brooklyn Dodgers
8	Fred Marsh	St. Louis Browns
9	Bobby Hogue	New York Yankees
10	Al Rosen	Cleveland Indians
11	Phil Rizzuto	New York Yankees
12	Monty Basgall	Pittsburgh Pirates
13	Johnny Wyrostek	Cincinnati Reds
14	Bob Elliott	Boston Braves
15	Johnny Pesky	Boston Red Sox
16	Gene Hermanski	Chicago Cubs
17	Jim Hegan	Cleveland Indians
18	Merrill Combs	Cleveland Indians
19	Johnny Bucha	St. Louis Cardinals
20	Billy Loes	Brooklyn Dodgers
21	Ferris Fain	Philadelphia Athletics
22	Dom DiMaggio	Boston Red Sox
23	Billy Goodman	Boston Red Sox
24	Luke Easter	Cleveland Indians
25	Johnny Groth	Detroit Tigers
26	Monte Irvin	New York Giants
27	Sam Jethroe	Boston Braves
28	Jerry Priddy	Detroit Tigers
29	Ted Kluszewski	Cincinnati Reds
30	Mel Parnell	Boston Red Sox
31	Gus Zernial	Philadelphia Athletics
32	Eddie Robinson	Chicago White Sox
33	Warren Spahn	Boston Braves
34	Elmer Valo	Philadelphia Athletics
35	Hank Sauer	Chicago Cubs
36	Gil Hodges	Brooklyn Dodgers
37	Duke Snider	Brooklyn Dodgers
38	Wally Westlake	St. Louis Cardinals
39	Dizzy Trout	Detroit Tigers
40	Irv Noren	Washington Senators
41	Bob Wellman	Philadelphia Athletics
42	Lou Kretlow	Chicago White Sox
43	Ray Scarborough	Boston Red Sox
44	Con Dempsey	Philadelphia Phillies
45	Eddie Joost	Philadelphia Athletics
46	Gordon Goldsberry	St. Louis Browns
47	Willie Jones	Philadelphia Phillies
48	Joe Page	New York Yankees
49	Johnny Sain	New York Yankees
50	Marv Rickert	Chicago White Sox
51	Jim Russell	Brooklyn Dodgers
52	Don Mueller	New York Giants
53	Chris Van Cuyk	Brooklyn Dodgers
54	Leo Kiely	Boston Red Sox
55	Ray Boone	Cleveland Indians
56	Tommy Glaviano	St. Louis Cardinals
57	Ed Lopat	New York Yankees
58	Bob Mahoney	St. Louis Browns
59	Robin Roberts	Philadelphia Phillies
60	Sid Hudson	Washington Senators
61	Tookie Gilbert	New York Giants
62	Chuck Stobbs	Chicago White Sox
63	Howie Pollet	Pittsburgh Pirates
64	Roy Sievers	St. Louis Browns
65	Enos Slaughter	St. Louis Cardinals
66	Preacher Roe	Brooklyn Dodgers
67	Allie Reynolds	New York Yankees
68	Cliff Chambers	St. Louis Cardinals
69	Virgil Stallcup	Cincinnati Reds
70	Al Zarilla	Chicago White Sox
71	Tom Upton	Washington Senators
72	Karl Olson	Boston Red Sox
73	Bill Werle	Pittsburgh Pirates
74	Andy Hansen	Philadelphia Phillies
75	Wes Westrum	New York Giants
76	Eddie Stanky	St. Louis Cardinals
77	Bob Kennedy	Cleveland Indians
78	Ellis Kinder	Boston Red Sox
79	Jerry Staley	St. Louis Cardinals
80	Herm Wehmeier	Cincinnati Reds
81	Vern Law	Pittsburgh Pirates
82	Duane Pillette	St. Louis Browns
83	Billy Johnson	St. Louis Cardinals
84	Vern Stephens	Boston Red Sox
85	Bob Kuzava	New York Yankees
86	Ted Gray	Detroit Tigers
87	Dale Coogan	Pittsburgh Pirates
88	Bob Feller	Cleveland Indians
89	Johnny Lipon	Detroit Tigers
90	Mickey Grasso	Washington Senators
91	Red Schoendienst	St. Louis Cardinals
92	Dale Mitchell	Cleveland Indians
93	Al Sima	Washington Senators
94	Sam Mele	Washington Senators
95	Ken Holcombe	Chicago White Sox
96	Willard Marshall	Boston Braves
97	Earl Torgeson	Boston Braves
98	Bill Pierce	Chicago White Sox
99	Gene Woodling	New York Yankees
100	Del Rice	St. Louis Cardinals
101	Max Lanier	New York Giants
102	Bill Kennedy	St. Louis Browns
103	Cliff Mapes	Detroit Tigers
104	Don Kolloway	Detroit Tigers
105	John Pramesa	Chicago Cubs
106	Mickey Vernon	Washington Senators
107	Connie Ryan	Philadelphia Phillies
108	Jim Konstanty	Philadelphia Phillies
109	Ted Wilks	Pittsburgh Pirates
110	Dutch Leonard	Chicago Cubs
111	Peanuts Lowrey	St. Louis Cardinals
112	Hank Majeski	Philadelphia Athletics
113	Dick Sisler	Cincinnati Reds
114	Willard Ramsdell	Chicago Cubs
115	Red Munger	St. Louis Cardinals
116	Carl Scheib	Philadelphia Athletics
117	Sherm Lollar	Chicago White Sox
118	Ken Raffensberger	Cincinnati Reds
119	Maurice McDermott	Boston Red Sox
120	Bob Chakales	Cleveland Indians
121	Gus Niarhos	Boston Red Sox
122	Jackie Jensen	New York Yankees
123	Eddie Yost	Washington Senators
124	Monte Kennedy	New York Giants
125	Bill Rigney	New York Giants
